,Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,total_runners
47,Jessica Morse,CA,U.S. House California District 4,Representative,Regular,6/5/18,Advanced,None,1,-18.16,49.099998,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,,Yes,,,,No,No,,Yes,,,,4
48,Regina Bateson,CA,U.S. House California District 4,Representative,Regular,6/5/18,Lost,None,0,-18.16,30.07,No,0,0.0,0.0,0.0,0,0.0,0.0,,,Yes,,,,No,No,,No,,,,4
49,Robert Lawton,CA,U.S. House California District 4,Representative,Regular,6/5/18,Lost,None,0,-18.16,5.25,No,0,0.0,0.0,0.0,0,0.0,0.0,,,No,,,,No,No,,No,,,,4
50,Roza Calderon,CA,U.S. House California District 4,Representative,Regular,6/5/18,Lost,None,0,-18.16,15.57,No,1,0.0,0.0,0.0,0,1.0,0.0,,,Yes,,,,Yes,Yes,,No,,,,4
51,Julia Peacock,CA,U.S. House California District 42,Representative,Regular,6/5/18,Advanced,None,1,-15.31,76.019997,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,,Yes,,,,,,,Yes,,,,2
52,Norman Quintero,CA,U.S. House California District 42,Representative,Regular,6/5/18,Lost,None,0,-15.31,23.98,No,1,0.0,0.0,0.0,0,0.0,0.0,,,No,,,,,,,No,,,,2
53,Brian Forde,CA,U.S. House California District 45,Representative,Regular,6/5/18,Lost,None,0,-1.4299999,13.06,No,0,0.0,0.0,0.0,0,1.0,1.0,No,No,Yes,,No,,No,,No,,,,,4
54,Dave Min,CA,U.S. House California District 45,Representative,Regular,6/5/18,Lost,None,0,-1.4299999,38.740002,No,1,0.0,0.0,0.0,0,0.0,0.0,No,No,Yes,,No,,No,,No,,,,,4
55,Katie Porter,CA,U.S. House California District 45,Representative,Regular,6/5/18,Advanced,None,1,-1.4299999,44.040001,Yes,0,0.0,0.0,0.0,0,0.0,0.0,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,,,4
56,Kia Hamadanchy,CA,U.S. House California District 45,Representative,Regular,6/5/18,Lost,None,0,-1.4299999,4.1500001,No,1,0.0,0.0,0.0,0,0.0,0.0,No,No,Yes,,No,,Yes,,No,,,,,4
57,Deanie Schaarsmith,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,0,-4.1799998,1.79,No,0,0.0,0.0,0.0,0,0.0,0.0,No,No,No,,,,,No,,No,,,,8
58,Hans Keirstead,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,0,-4.1799998,37.439999,No,0,0.0,0.0,0.0,1,1.0,0.0,No,No,Yes,,,,,No,,No,,,,8
59,Harley Rouda,CA,U.S. House California District 48,Representative,Regular,6/5/18,Advanced,None,1,-4.1799998,37.599998,Yes,0,0.0,0.0,0.0,1,0.0,0.0,Yes,No,Yes,,,,,No,,Yes,,,,8
60,Laura Oatman,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,0,-4.1799998,3.01,No,0,0.0,0.0,0.0,0,1.0,0.0,No,No,No,,,,,Yes,,No,,,,8
61,Michael Kotick,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,0,-4.1799998,3.26,No,0,0.0,0.0,0.0,0,0.0,0.0,No,No,No,,,,,No,,No,,,,8
62,Omar Siddiqui,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,0,-4.1799998,10.81,No,1,0.0,0.0,0.0,1,1.0,0.0,No,No,Yes,,,,,No,,No,,,,8
63,Rachel Payne,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,0,-4.1799998,4.4899998,No,0,0.0,0.0,0.0,0,1.0,0.0,No,Yes,No,,,,,No,,No,,,,8
64,Tony Zarkades,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,0,-4.1799998,1.6,No,0,1.0,0.0,0.0,0,1.0,0.0,No,No,No,,,,,No,,No,,,,8
65,Douglas Applegate,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,None,0,1.42,25.76,No,0,1.0,0.0,0.0,0,0.0,0.0,No,No,,,,,,Yes,No,,,Yes,,4
66,Mike Levin,CA,U.S. House California District 49,Representative,Regular,6/5/18,Advanced,None,1,1.42,34.400002,Yes,0,0.0,0.0,0.0,0,0.0,0.0,Yes,No,,,,,,No,Yes,,,No,,4
67,Paul Kerr,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,None,0,1.42,8.75,No,0,1.0,0.0,0.0,1,0.0,0.0,No,No,,,,,,No,No,,,No,,4
68,Sara Jacobs,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,None,0,1.42,31.09,No,0,0.0,0.0,0.0,1,0.0,1.0,No,Yes,,,,,,No,No,,,No,,4
69,Ammar Campa-Najjar,CA,U.S. House California District 50,Representative,Regular,6/5/18,Advanced,None,1,-19.48,48.360001,Yes,1,0.0,0.0,0.0,0,0.0,1.0,,,,,,,,Yes,Yes,Yes,,,,3
70,Josh Butner,CA,U.S. House California District 50,Representative,Regular,6/5/18,Lost,None,0,-19.48,35.509998,No,0,1.0,0.0,0.0,0,0.0,0.0,,,,,,,,No,No,No,,Yes,,3
71,Patrick Malloy,CA,U.S. House California District 50,Representative,Regular,6/5/18,Lost,None,0,-19.48,16.129999,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,No,No,No,,,,3
72,Marge Doyle,CA,U.S. House California District 8,Representative,Regular,6/5/18,Lost,None,0,-17.33,59.610001,,0,0.0,1.0,0.0,0,1.0,0.0,,,,,,,,,,,,,,3
73,Rita Ramirez,CA,U.S. House California District 8,Representative,Regular,6/5/18,Lost,None,0,-17.33,27.67,,1,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,3
74,Ronald O'Donnell,CA,U.S. House California District 8,Representative,Regular,6/5/18,Lost,None,0,-17.33,12.71,,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,3
75,Joe Neguse,CO,U.S. House Colorado District 2,Representative,Regular,6/26/18,Advanced,None,1,18.040001,65.82,Yes,1,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,2
76,Mark Williams,CO,U.S. House Colorado District 2,Representative,Regular,6/26/18,Lost,None,0,18.040001,34.18,No,1,1.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,2
77,Arn Menconi,CO,U.S. House Colorado District 3,Representative,Regular,6/26/18,Lost,None,0,-13.03,8.2200003,No,0,0.0,0.0,0.0,0,0.0,0.0,,No,,,,,,,,,,,,3
78,Diane Mitsch Bush,CO,U.S. House Colorado District 3,Representative,Regular,6/26/18,Advanced,None,1,-13.03,64.099998,Yes,0,0.0,0.0,1.0,0,0.0,0.0,,Yes,,,,,,,,,,,,3
79,Karl Hanlon,CO,U.S. House Colorado District 3,Representative,Regular,6/26/18,Lost,None,0,-13.03,27.68,No,0,0.0,0.0,0.0,0,0.0,0.0,,No,,,,,,,,,,,,3
80,Chase Kohne,CO,U.S. House Colorado District 4,Representative,Regular,6/26/18,Lost,None,0,-24.68,35.32,No,0,1.0,0.0,0.0,0,1.0,0.0,,,,,,,,,,,,,,2
81,Karen McCormick,CO,U.S. House Colorado District 4,Representative,Regular,6/26/18,Advanced,None,1,-24.68,64.629997,Yes,0,0.0,0.0,0.0,0,1.0,0.0,,,,,,,,,,,,,,2
83,Jason Crow,CO,U.S. House Colorado District 6,Representative,Regular,6/26/18,Advanced,None,1,5.4200001,65.940002,Yes,0,1.0,0.0,0.0,0,0.0,0.0,Yes,,,,,,No,,,,,Yes,,2
