,Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,total_runners
42,Marty Walters,CA,U.S. House California District 1,Representative,Regular,6/5/18,Lost,None,0.0,-21.379999,20.51,No,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
43,Dotty Nygard,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,0.0,0.62,1.89,No,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6
44,Josh Harder,CA,U.S. House California District 10,Representative,Regular,6/5/18,Advanced,None,1.0,0.62,35.57,Yes,0.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6
45,Michael Eggman,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,0.0,0.62,21.34,No,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
46,Mike Barkley,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,0.0,0.62,4.98,No,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
47,Sue Zwahlen,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,0.0,0.62,17.049999,No,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
48,Virginia Madueno,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,0.0,0.62,19.17,No,1.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,6
50,Andrew Janz,CA,U.S. House California District 22,Representative,Regular,6/5/18,Advanced,None,1.0,-13.41,78.830002,Yes,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
51,Bobby Bliatout,CA,U.S. House California District 22,Representative,Regular,6/5/18,Lost,None,0.0,-13.41,12.26,No,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
52,Ricardo Franco,CA,U.S. House California District 22,Representative,Regular,6/5/18,Lost,None,0.0,-13.41,8.9099998,No,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
53,Kurtis Wilson,CA,U.S. House California District 23,Representative,Regular,6/5/18,Lost,None,0.0,-25.379999,4.8400002,No,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
54,Mary Helen Barro,CA,U.S. House California District 23,Representative,Regular,6/5/18,Lost,None,0.0,-25.379999,18.200001,No,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
55,Tatiana Matta,CA,U.S. House California District 23,Representative,Regular,6/5/18,Advanced,None,1.0,-25.379999,42.720001,Yes,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
56,Wendy Reed,CA,U.S. House California District 23,Representative,Regular,6/5/18,Lost,None,0.0,-25.379999,34.25,No,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
57,Bryan Caforio,CA,U.S. House California District 25,Representative,Regular,6/5/18,Lost,None,0.0,2.02,38.259998,No,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4
58,Jess Phoenix,CA,U.S. House California District 25,Representative,Regular,6/5/18,Lost,None,0.0,2.02,13.24,No,0.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4
59,Katie Hill,CA,U.S. House California District 25,Representative,Regular,6/5/18,Advanced,None,1.0,2.02,42.970001,Yes,0.0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,4
60,Mary Pallant,CA,U.S. House California District 25,Representative,Regular,6/5/18,Lost,None,0.0,2.02,5.54,No,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
61,Andy Thorburn,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,0.0,2.99,20.440001,No,0.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6
62,Gil Cisneros,CA,U.S. House California District 39,Representative,Regular,6/5/18,Advanced,None,1.0,2.99,43.23,Yes,1.0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,6
63,Herbert Lee,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,0.0,2.99,9.4200001,No,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
64,Mai Khanh Tran,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,0.0,2.99,11.69,No,1.0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6
65,Sam Jammal,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,0.0,2.99,11.98,No,1.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,6
66,Suzi Park Leggett,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,0.0,2.99,3.24,No,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
67,Jessica Morse,CA,U.S. House California District 4,Representative,Regular,6/5/18,Advanced,None,1.0,-18.16,49.099998,Yes,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4
68,Regina Bateson,CA,U.S. House California District 4,Representative,Regular,6/5/18,Lost,None,0.0,-18.16,30.07,No,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
69,Robert Lawton,CA,U.S. House California District 4,Representative,Regular,6/5/18,Lost,None,0.0,-18.16,5.25,No,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
70,Roza Calderon,CA,U.S. House California District 4,Representative,Regular,6/5/18,Lost,None,0.0,-18.16,15.57,No,1.0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,4
71,Julia Peacock,CA,U.S. House California District 42,Representative,Regular,6/5/18,Advanced,None,1.0,-15.31,76.019997,Yes,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
72,Norman Quintero,CA,U.S. House California District 42,Representative,Regular,6/5/18,Lost,None,0.0,-15.31,23.98,No,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
73,Brian Forde,CA,U.S. House California District 45,Representative,Regular,6/5/18,Lost,None,0.0,-1.4299999,13.06,No,0.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4
74,Dave Min,CA,U.S. House California District 45,Representative,Regular,6/5/18,Lost,None,0.0,-1.4299999,38.740002,No,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
75,Katie Porter,CA,U.S. House California District 45,Representative,Regular,6/5/18,Advanced,None,1.0,-1.4299999,44.040001,Yes,0.0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,4
76,Kia Hamadanchy,CA,U.S. House California District 45,Representative,Regular,6/5/18,Lost,None,0.0,-1.4299999,4.1500001,No,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4
77,Deanie Schaarsmith,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,0.0,-4.1799998,1.79,No,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
78,Hans Keirstead,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,0.0,-4.1799998,37.439999,No,0.0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8
79,Harley Rouda,CA,U.S. House California District 48,Representative,Regular,6/5/18,Advanced,None,1.0,-4.1799998,37.599998,Yes,0.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,8
