,Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,total_runners
232,Laura Kelly,KS,Governor of Kansas,Governor,Regular,8/7/18,Advanced,None,1.0,-23.41,51.400002,Yes,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
260,Alec Ross,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,0.0,23.799999,2.3,No,0.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8
261,Ben Jealous,MD,Governor of Maryland,Governor,Regular,6/26/18,Advanced,None,1.0,23.799999,39.599998,Yes,1.0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,8
262,James Jones,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,0.0,23.799999,1.5,No,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
263,Jim Shea (Maryland),MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,0.0,23.799999,8.3000002,No,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8
264,Krishanti Vignarajah,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,0.0,23.799999,8.1999998,No,1.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8
265,Ralph Jaffe,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,0.0,23.799999,1.6,No,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
266,Richard Madaleno,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,0.0,23.799999,5.8000002,No,0.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8
267,Rushern Baker III,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,0.0,23.799999,29.4,No,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8
282,Adam Cote,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,0.0,3.51,28.129999,No,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7
