,Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,dist_num,District Abbrev,total_runners
250,matt longjohn,MI,U.S. House Michigan District 6,Representative,Regular,8/7/18,Advanced,None,1,-9.1800003,37.299999,Yes,0,0.0,0.0,0.0,0,1.0,0.0,,,Yes,,,,No,No,,,,,,6,MI-6,4
251,rich eichholz,MI,U.S. House Michigan District 6,Representative,Regular,8/7/18,Lost,None,0,-9.1800003,13.0,No,0,0.0,0.0,0.0,0,1.0,0.0,,,Yes,,,,No,No,,,,,,6,MI-6,4
252,gretchen driskell,MI,U.S. House Michigan District 7,Representative,Regular,8/7/18,Advanced,None,1,-16.059999,85.199997,Yes,0,0.0,0.0,1.0,0,0.0,0.0,Yes,Yes,,,,,No,,,,,,,7,MI-7,2
253,steven friday,MI,U.S. House Michigan District 7,Representative,Regular,8/7/18,Lost,None,0,-16.059999,14.8,No,0,1.0,0.0,0.0,0,0.0,0.0,No,No,,,,,Yes,,,,,,,7,MI-7,2
254,chris smith,MI,U.S. House Michigan District 8,Representative,Regular,8/7/18,Lost,None,0,-8.3299999,29.1,No,0,0.0,0.0,0.0,0,0.0,0.0,,No,,No,,,,,,,,,,8,MI-8,2
255,elissa slotkin,MI,U.S. House Michigan District 8,Representative,Regular,8/7/18,Advanced,None,1,-8.3299999,70.900002,Yes,0,0.0,0.0,0.0,0,0.0,1.0,,Yes,,Yes,,,,,,,,,,8,MI-8,2
256,andy levin,MI,U.S. House Michigan District 9,Representative,Regular,8/7/18,Advanced,None,1,7.1399999,52.5,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,No,Yes,,,,,,,,,,,9,MI-9,3
257,ellen lipton,MI,U.S. House Michigan District 9,Representative,Regular,8/7/18,Lost,None,0,7.1399999,42.400002,No,0,0.0,0.0,1.0,0,1.0,0.0,,Yes,Yes,,,,,,,,,,,9,MI-9,3
258,martin brook,MI,U.S. House Michigan District 9,Representative,Regular,8/7/18,Lost,None,0,7.1399999,5.0999999,No,0,0.0,0.0,0.0,0,0.0,0.0,,No,Yes,,,,,,,,,,,9,MI-9,3
259,bill haas,MO,U.S. House Missouri District 2,Representative,Regular,8/7/18,Lost,None,0,-14.18,19.5,No,0,0.0,0.0,1.0,0,0.0,0.0,,,,,,,,,,,,No,,2,MO-2,5
260,cort vanostran,MO,U.S. House Missouri District 2,Representative,Regular,8/7/18,Advanced,None,1,-14.18,41.700001,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,,Yes,,,,,,,,,No,,2,MO-2,5
261,john messmer,MO,U.S. House Missouri District 2,Representative,Regular,8/7/18,Lost,None,0,-14.18,9.6999998,No,0,0.0,0.0,0.0,0,0.0,0.0,,,Yes,,,,,,,,,No,,2,MO-2,5
262,mark osmack,MO,U.S. House Missouri District 2,Representative,Regular,8/7/18,Lost,None,0,-14.18,25.200001,No,0,1.0,0.0,0.0,0,0.0,0.0,,,Yes,,,,,,,,,Yes,,2,MO-2,5
263,robert hazel,MO,U.S. House Missouri District 2,Representative,Regular,8/7/18,Lost,None,0,-14.18,4.0,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,No,,2,MO-2,5
265,hallie thompson,MO,U.S. House Missouri District 4,Representative,Regular,8/7/18,Lost,None,0,-35.73,48.099998,No,0,0.0,0.0,0.0,0,1.0,0.0,,,Yes,,,,,,,,,,,4,MO-4,2
266,renee hoagenson,MO,U.S. House Missouri District 4,Representative,Regular,8/7/18,Advanced,None,1,-35.73,51.900002,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,4,MO-4,2
267,ed andres,MO,U.S. House Missouri District 6,Representative,Regular,8/7/18,Lost,None,0,-31.610001,27.700001,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,No,,,,,,,6,MO-6,3
268,henry martin,MO,U.S. House Missouri District 6,Representative,Regular,8/7/18,Advanced,None,1,-31.610001,41.5,Yes,1,1.0,0.0,0.0,0,0.0,0.0,,,,,,,No,,,,,,,6,MO-6,3
269,winston apple,MO,U.S. House Missouri District 6,Representative,Regular,8/7/18,Lost,None,0,-31.610001,30.799999,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,Yes,,,,,,,6,MO-6,3
270,jamie schoolcraft,MO,U.S. House Missouri District 7,Representative,Regular,8/7/18,Advanced,None,1,-46.130001,40.599998,Yes,0,1.0,0.0,1.0,0,1.0,0.0,,,Yes,,,,,Yes,,,,,,7,MO-7,4
271,john farmer de la torre,MO,U.S. House Missouri District 7,Representative,Regular,8/7/18,Lost,None,0,-46.130001,21.700001,No,1,0.0,0.0,0.0,0,0.0,0.0,,,No,,,,,No,,,,,,7,MO-7,4
272,kenneth hatfield,MO,U.S. House Missouri District 7,Representative,Regular,8/7/18,Lost,None,0,-46.130001,22.299999,No,0,0.0,0.0,0.0,0,0.0,0.0,,,No,,,,,No,,,,,,7,MO-7,4
273,vincent jennings,MO,U.S. House Missouri District 7,Representative,Regular,8/7/18,Lost,None,0,-46.130001,15.4,No,0,0.0,0.0,0.0,0,0.0,0.0,,,Yes,,,,,No,,,,,,7,MO-7,4
276,michael aycox,MS,U.S. House Mississippi District 3,Representative,Regular,6/5/18,Lost,None,0,-26.129999,30.66,No,0,1.0,1.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,3,MS-3,2
277,michael evans,MS,U.S. House Mississippi District 3,Representative,Regular,6/5/18,Advanced,None,1,-26.129999,69.339996,Yes,0,0.0,0.0,1.0,0,0.0,0.0,,,,,,,,,,,,,,3,MS-3,2
279,grant kier,MT,U.S. House Montana At-large District,Representative,Regular,6/5/18,Lost,None,0,-21.41,24.15,No,0,0.0,0.0,0.0,0,1.0,0.0,,,No,,,,No,No,,,,,,,,6
280,jared pettinato,MT,U.S. House Montana At-large District,Representative,Regular,6/5/18,Lost,None,0,-21.41,2.21,No,0,0.0,0.0,0.0,0,0.0,0.0,,,No,,,,No,No,,,,,,,,6
281,john heenan,MT,U.S. House Montana At-large District,Representative,Regular,6/5/18,Lost,None,0,-21.41,31.709999,No,0,0.0,0.0,0.0,1,0.0,0.0,,,No,,,,Yes,Yes,,,,,,,,6
282,john meyer,MT,U.S. House Montana At-large District,Representative,Regular,6/5/18,Lost,None,0,-21.41,3.3399999,No,0,0.0,0.0,0.0,0,1.0,0.0,,,Yes,,,,No,No,,,,,,,,6
283,kathleen williams,MT,U.S. House Montana At-large District,Representative,Regular,6/5/18,Advanced,None,1,-21.41,33.52,Yes,0,0.0,0.0,1.0,0,0.0,0.0,,,Yes,,,,No,No,,,,,,,,6
284,lynda moss,MT,U.S. House Montana At-large District,Representative,Regular,6/5/18,Lost,None,0,-21.41,5.0599999,No,0,0.0,0.0,1.0,0,0.0,0.0,,,No,,,,No,No,,,,,,,,6
286,phillip price,NC,U.S. House North Carolina District 11,Representative,Regular,5/8/18,Advanced,None,1,-29.559999,40.59,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,,Yes,,,,,,,,,,,11,NC-11,3
287,scott donaldson,NC,U.S. House North Carolina District 11,Representative,Regular,5/8/18,Lost,None,0,-29.559999,28.27,No,0,0.0,0.0,0.0,0,1.0,0.0,,,No,,,,,,,,,,,11,NC-11,3
288,steve woodsmall,NC,U.S. House North Carolina District 11,Representative,Regular,5/8/18,Lost,None,0,-29.559999,31.139999,No,0,1.0,0.0,0.0,0,0.0,0.0,,,No,,,,,,,,,,,11,NC-11,3
289,adam coker,NC,U.S. House North Carolina District 13,Representative,Regular,5/8/18,Lost,None,0,-11.28,29.860001,No,0,0.0,0.0,0.0,0,0.0,0.0,No,No,Yes,,,,,,,,,,,13,NC-13,2
290,kathy manning,NC,U.S. House North Carolina District 13,Representative,Regular,5/8/18,Advanced,None,1,-11.28,70.139999,Yes,0,0.0,0.0,0.0,0,0.0,0.0,Yes,Yes,No,,,,,,,,,,,13,NC-13,2
291,ken romley,NC,U.S. House North Carolina District 2,Representative,Regular,5/8/18,Lost,None,0,-12.98,32.299999,No,0,0.0,0.0,0.0,1,1.0,0.0,,,Yes,,,,,,,,,,,2,NC-2,3
292,linda coleman,NC,U.S. House North Carolina District 2,Representative,Regular,5/8/18,Advanced,None,1,-12.98,56.0,Yes,1,0.0,0.0,1.0,0,0.0,0.0,,,Yes,,,,,,,,,,,2,NC-2,3
293,wendy may,NC,U.S. House North Carolina District 2,Representative,Regular,5/8/18,Lost,None,0,-12.98,11.7,No,0,1.0,1.0,0.0,0,0.0,0.0,,,Yes,,,,,,,,,,,2,NC-2,3
294,denise adams,NC,U.S. House North Carolina District 5,Representative,Regular,5/8/18,Advanced,None,1,-19.280001,54.400002,Yes,1,0.0,0.0,1.0,0,0.0,0.0,,,No,,,,,No,,,Yes,,,5,NC-5,2
295,jenny marshall,NC,U.S. House North Carolina District 5,Representative,Regular,5/8/18,Lost,None,0,-19.280001,45.599998,No,0,0.0,0.0,0.0,0,0.0,0.0,,,Yes,,,,,Yes,,,No,,,5,NC-5,2
296,gerald wong,NC,U.S. House North Carolina District 6,Representative,Regular,5/8/18,Lost,None,0,-16.73,22.799999,No,1,0.0,0.0,0.0,0,0.0,0.0,,,No,,,,,,,No,,,,6,NC-6,2
297,ryan watts,NC,U.S. House North Carolina District 6,Representative,Regular,5/8/18,Advanced,None,1,-16.73,77.199997,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,,Yes,,,,,,,Yes,,,,6,NC-6,2
298,grayson parker,NC,U.S. House North Carolina District 7,Representative,Regular,5/8/18,Lost,None,0,-18.98,33.0,No,0,0.0,0.0,0.0,0,1.0,0.0,,,No,,,,,,,,,,,7,NC-7,2
299,kyle horton,NC,U.S. House North Carolina District 7,Representative,Regular,5/8/18,Advanced,None,1,-18.98,67.0,Yes,0,0.0,0.0,0.0,0,1.0,0.0,,,Yes,,,,,,,,,,,7,NC-7,2
300,frank mcneill,NC,U.S. House North Carolina District 8,Representative,Regular,5/8/18,Advanced,None,1,-16.360001,56.099998,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,,No,,,,,,,,,,,8,NC-8,3
301,marc tiegel,NC,U.S. House North Carolina District 8,Representative,Regular,5/8/18,Lost,None,0,-16.360001,20.9,No,0,0.0,0.0,0.0,0,0.0,0.0,,,Yes,,,,,,,,,,,8,NC-8,3
302,scott huffman,NC,U.S. House North Carolina District 8,Representative,Regular,5/8/18,Lost,None,0,-16.360001,23.0,No,0,1.0,0.0,0.0,0,0.0,0.0,,,Yes,,,,,,,,,,,8,NC-8,3
303,christian cano,NC,U.S. House North Carolina District 9,Representative,Regular,5/8/18,Lost,None,0,-14.13,17.200001,No,1,0.0,1.0,0.0,0,0.0,0.0,No,,,,,,,,,No,,No,,9,NC-9,2
304,dan mccready,NC,U.S. House North Carolina District 9,Representative,Regular,5/8/18,Advanced,None,1,-14.13,82.800003,Yes,0,1.0,0.0,0.0,0,0.0,0.0,Yes,,,,,,,,,Yes,,Yes,,9,NC-9,2
306,dennis crawford,NE,U.S. House Nebraska District 1,Representative,Regular,5/15/18,Lost,None,0,-22.66,33.900002,No,0,0.0,0.0,0.0,0,0.0,0.0,,,Yes,,,,,,,,No,,,1,NE-1,2
307,jessica mcclure,NE,U.S. House Nebraska District 1,Representative,Regular,5/15/18,Advanced,None,1,-22.66,66.099998,Yes,0,0.0,0.0,0.0,0,1.0,0.0,,,Yes,,,,,,,,No,,,1,NE-1,2
308,brad ashford,NE,U.S. House Nebraska District 2,Representative,Regular,5/15/18,Lost,None,0,-5.98,48.360001,No,0,0.0,0.0,1.0,0,0.0,0.0,Yes,,Yes,,,,,No,No,,No,,,2,NE-2,2
309,kara eastman,NE,U.S. House Nebraska District 2,Representative,Regular,5/15/18,Advanced,None,1,-5.98,51.639999,Yes,0,0.0,0.0,0.0,0,0.0,0.0,No,,Yes,,,,,Yes,Yes,,Yes,,,2,NE-2,2
311,alison heslin,NJ,U.S. House New Jersey District 11,Representative,Regular,6/5/18,Lost,None,0,-4.6599998,2.7,No,0,0.0,0.0,0.0,0,1.0,0.0,No,No,,No,,,,,,,,No,,11,NJ-11,5
312,mark washburne,NJ,U.S. House New Jersey District 11,Representative,Regular,6/5/18,Lost,None,0,-4.6599998,3.4000001,No,0,0.0,0.0,0.0,0,0.0,0.0,No,No,,No,,,,,,,,No,,11,NJ-11,5
313,mikie sherrill,NJ,U.S. House New Jersey District 11,Representative,Regular,6/5/18,Advanced,None,1,-4.6599998,77.5,Yes,0,1.0,0.0,0.0,0,0.0,0.0,Yes,Yes,,Yes,,,,,,,,Yes,,11,NJ-11,5
314,mitchell cobert,NJ,U.S. House New Jersey District 11,Representative,Regular,6/5/18,Lost,None,0,-4.6599998,1.9,No,0,0.0,0.0,0.0,0,0.0,0.0,No,No,,No,,,,,,,,No,,11,NJ-11,5
315,tamara harris,NJ,U.S. House New Jersey District 11,Representative,Regular,6/5/18,Lost,None,0,-4.6599998,14.5,No,1,0.0,0.0,0.0,1,0.0,0.0,No,No,,No,,,,,,,,No,,11,NJ-11,5
316,jeff van drew,NJ,U.S. House New Jersey District 2,Representative,Regular,6/5/18,Advanced,None,1,-3.96,55.400002,Yes,0,0.0,0.0,1.0,0,0.0,0.0,Yes,,,,,,,,,No,,,,2,NJ-2,4
317,nathan kleinman,NJ,U.S. House New Jersey District 2,Representative,Regular,6/5/18,Lost,None,0,-3.96,8.6000004,No,0,0.0,0.0,0.0,0,0.0,0.0,No,,,,,,,,,No,,,,2,NJ-2,4
318,tanzie youngblood,NJ,U.S. House New Jersey District 2,Representative,Regular,6/5/18,Lost,None,0,-3.96,19.200001,No,1,0.0,0.0,0.0,0,0.0,0.0,No,,,,,,,,,Yes,,,,2,NJ-2,4
319,will cunningham,NJ,U.S. House New Jersey District 2,Representative,Regular,6/5/18,Lost,None,0,-3.96,16.799999,No,1,0.0,1.0,0.0,0,0.0,0.0,No,,,,,,,,,No,,,,2,NJ-2,4
321,jim keady,NJ,U.S. House New Jersey District 4,Representative,Regular,6/5/18,Lost,None,0,-16.01,42.799999,No,0,0.0,0.0,1.0,0,0.0,0.0,,,,,,,Yes,,,,Yes,,,4,NJ-4,2
322,josh welle,NJ,U.S. House New Jersey District 4,Representative,Regular,6/5/18,Advanced,None,1,-16.01,57.200001,Yes,0,1.0,0.0,0.0,0,0.0,0.0,,,,,,,No,,,,No,,,4,NJ-4,2
323,goutam jois,NJ,U.S. House New Jersey District 7,Representative,Regular,6/5/18,Lost,None,0,-3.26,14.1,No,1,0.0,0.0,0.0,0,0.0,0.0,No,,,No,,,No,No,,,,,,7,NJ-7,3
324,peter jacob,NJ,U.S. House New Jersey District 7,Representative,Regular,6/5/18,Lost,None,0,-3.26,19.1,No,1,0.0,0.0,0.0,0,0.0,0.0,No,,,No,,,Yes,Yes,,,,,,7,NJ-7,3
325,tom malinowski,NJ,U.S. House New Jersey District 7,Representative,Regular,6/5/18,Advanced,None,1,-3.26,66.800003,Yes,0,0.0,0.0,0.0,0,0.0,1.0,Yes,,,Yes,,,No,No,,,,,,7,NJ-7,3
326,antoinette sedillo lopez,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Lost,None,0,13.77,20.610001,No,1,0.0,0.0,0.0,0,0.0,0.0,,No,No,,No,,Yes,Yes,,,Yes,No,No,1,NM-1,6
327,damian lara,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Lost,None,0,13.77,3.29,No,1,0.0,0.0,0.0,0,0.0,0.0,,No,No,,No,,No,No,,,No,No,No,1,NM-1,6
328,damon martinez,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Lost,None,0,13.77,25.809999,No,1,1.0,0.0,0.0,0,0.0,0.0,,No,No,,No,,No,No,,,No,Yes,Yes,1,NM-1,6
329,debra haaland,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Advanced,None,1,13.77,40.59,Yes,1,0.0,0.0,0.0,0,0.0,1.0,,Yes,No,,Yes,,No,No,,,No,No,No,1,NM-1,6
330,patrick davis,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Lost,None,0,13.77,3.8,No,0,0.0,1.0,1.0,0,0.0,0.0,,No,Yes,,No,,No,No,,,No,No,No,1,NM-1,6
331,paul moya,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Lost,None,0,13.77,5.8899999,No,1,0.0,0.0,0.0,0,0.0,0.0,,No,No,,No,,No,No,,,No,No,No,1,NM-1,6
332,madeline hildebrandt,NM,U.S. House New Mexico District 2,Representative,Regular,6/5/18,Lost,None,0,-11.88,27.379999,No,0,1.0,0.0,0.0,0,0.0,0.0,No,No,,,,,Yes,,,,,,,2,NM-2,2
333,xochitl torres small,NM,U.S. House New Mexico District 2,Representative,Regular,6/5/18,Advanced,None,1,-11.88,72.620003,Yes,1,0.0,0.0,0.0,0,0.0,0.0,Yes,Yes,,,,,No,,,,,,,2,NM-2,2
334,clint koble,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Advanced,None,1,-13.78,26.129999,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,,Yes,,,,No,,,,,,,2,NV-2,6
335,jack schofield jr.,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Lost,None,0,-13.78,7.5,No,0,0.0,0.0,0.0,0,0.0,0.0,,,No,,,,No,,,,,,,2,NV-2,6
336,jesse hurley,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Lost,None,0,-13.78,8.04,No,0,0.0,0.0,0.0,0,0.0,0.0,,,No,,,,No,,,,,,,2,NV-2,6
337,patrick fogarty,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Lost,None,0,-13.78,23.83,No,0,0.0,0.0,0.0,0,1.0,0.0,,,Yes,,,,Yes,,,,,,,2,NV-2,6
338,rick shepherd,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Lost,None,0,-13.78,21.280001,No,0,0.0,0.0,0.0,0,1.0,0.0,,,Yes,,,,No,,,,,,,2,NV-2,6
339,vance alm,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Lost,None,0,-13.78,13.22,No,0,1.0,0.0,0.0,0,0.0,0.0,,,No,,,,No,,,,,,,2,NV-2,6
340,eric stoltz,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,0,-3.0799999,7.2399998,No,0,0.0,0.0,0.0,0,0.0,0.0,No,No,No,No,,,,,,,,,,3,NV-3,7
341,guy pinjuv,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,0,-3.0799999,3.5,No,0,0.0,0.0,0.0,0,1.0,0.0,No,No,No,No,,,,,,,,,,3,NV-3,7
342,jack love,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,0,-3.0799999,5.8000002,No,0,0.0,0.0,0.0,0,0.0,0.0,No,No,No,No,,,,,,,,,,3,NV-3,7
343,michael weiss,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,0,-3.0799999,8.1800003,No,0,0.0,0.0,0.0,0,1.0,0.0,No,No,No,No,,,,,,,,,,3,NV-3,7
344,richard hart,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,0,-3.0799999,4.8499999,No,0,0.0,0.0,0.0,0,0.0,0.0,No,No,No,No,,,,,,,,,,3,NV-3,7
345,steve schiffman,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,0,-3.0799999,3.51,No,0,0.0,0.0,0.0,0,0.0,0.0,No,No,No,No,,,,,,,,,,3,NV-3,7
346,susie lee,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Advanced,None,1,-3.0799999,66.910004,Yes,0,0.0,0.0,0.0,0,0.0,0.0,Yes,Yes,Yes,Yes,,,,,,,,,,3,NV-3,7
347,allison stephens,NV,U.S. House Nevada District 4,Representative,Regular,6/12/18,Lost,None,0,3.8199999,6.02,No,1,0.0,0.0,1.0,0,0.0,0.0,No,,No,No,,,No,No,,No,,No,,4,NV-4,6
348,amy vilela,NV,U.S. House Nevada District 4,Representative,Regular,6/12/18,Lost,None,0,3.8199999,9.1999998,No,0,0.0,0.0,0.0,0,0.0,0.0,No,,Yes,No,,,Yes,Yes,,Yes,,No,,4,NV-4,6
349,john anzalone,NV,U.S. House Nevada District 4,Representative,Regular,6/12/18,Lost,None,0,3.8199999,5.8000002,No,0,0.0,0.0,0.0,0,0.0,0.0,No,,Yes,No,,,No,No,,,,,,4,NV-4,6
350,patricia spearman,NV,U.S. House Nevada District 4,Representative,Regular,6/12/18,Lost,None,0,3.8199999,15.24,No,1,1.0,1.0,1.0,0,0.0,0.0,No,,Yes,No,,,No,No,,No,,Yes,,4,NV-4,6
351,sid zeller,NV,U.S. House Nevada District 4,Representative,Regular,6/12/18,Lost,None,0,3.8199999,2.0,No,0,1.0,0.0,0.0,0,0.0,0.0,No,,No,No,,,No,No,,No,,No,,4,NV-4,6
352,steven horsford,NV,U.S. House Nevada District 4,Representative,Regular,6/12/18,Advanced,None,1,3.8199999,61.740002,Yes,1,0.0,0.0,1.0,0,0.0,0.0,Yes,,Yes,Yes,,,No,No,,,,,,4,NV-4,6
353,david pechefsky,NY,U.S. House New York District 1,Representative,Regular,6/26/18,Lost,None,0,-11.63,11.9,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,1,NY-1,5
354,elaine dimasi,NY,U.S. House New York District 1,Representative,Regular,6/26/18,Lost,None,0,-11.63,5.9200001,No,0,0.0,0.0,0.0,0,1.0,0.0,,,,,,,,,,,,,,1,NY-1,5
355,kate browning,NY,U.S. House New York District 1,Representative,Regular,6/26/18,Lost,None,0,-11.63,30.32,No,0,0.0,0.0,1.0,0,0.0,0.0,,,,,,,,,,,,,,1,NY-1,5
356,perry gershon,NY,U.S. House New York District 1,Representative,Regular,6/26/18,Advanced,None,1,-11.63,35.450001,Yes,0,0.0,0.0,0.0,1,1.0,0.0,,,,,,,,,,,,,,1,NY-1,5
357,vivian viloria-fisher,NY,U.S. House New York District 1,Representative,Regular,6/26/18,Lost,None,0,-11.63,16.26,No,1,0.0,0.0,1.0,0,0.0,0.0,,,,,,,,,,,,,,1,NY-1,5
358,max rose,NY,U.S. House New York District 11,Representative,Regular,6/26/18,Advanced,None,1,-8.8100004,62.650002,Yes,0,1.0,0.0,0.0,0,0.0,0.0,Yes,,,,,,,,,,Yes,Yes,,11,NY-11,6
359,michael devito jr.,NY,U.S. House New York District 11,Representative,Regular,6/26/18,Lost,None,0,-8.8100004,18.42,No,1,1.0,0.0,0.0,0,0.0,0.0,No,,,,,,,,,,No,No,,11,NY-11,6
360,omar vaid,NY,U.S. House New York District 11,Representative,Regular,6/26/18,Lost,None,0,-8.8100004,8.4300003,No,1,0.0,0.0,0.0,0,0.0,0.0,No,,,,,,,,,,No,No,,11,NY-11,6
361,paul sperling,NY,U.S. House New York District 11,Representative,Regular,6/26/18,Lost,None,0,-8.8100004,2.29,No,0,0.0,0.0,0.0,0,0.0,0.0,No,,,,,,,,,,No,No,,11,NY-11,6
362,radhakrishna mohan,NY,U.S. House New York District 11,Representative,Regular,6/26/18,Lost,None,0,-8.8100004,3.78,No,1,0.0,0.0,0.0,0,1.0,0.0,No,,,,,,,,,,No,No,,11,NY-11,6
363,zach emig,NY,U.S. House New York District 11,Representative,Regular,6/26/18,Lost,None,0,-8.8100004,1.26,No,0,0.0,0.0,0.0,0,0.0,0.0,No,,,,,,,,,,No,No,,11,NY-11,6
364,antonio delgado,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Advanced,None,1,-6.0799999,21.99,Yes,1,0.0,0.0,0.0,0,0.0,0.0,,No,Yes,,,,,No,,No,,No,,19,NY-19,7
365,brian flynn,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Lost,None,0,-6.0799999,13.18,No,0,0.0,0.0,0.0,1,0.0,0.0,,No,No,,,,,No,,No,,No,,19,NY-19,7
366,david clegg,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Lost,None,0,-6.0799999,11.08,No,0,0.0,0.0,0.0,1,0.0,0.0,,No,No,,,,,No,,Yes,,No,,19,NY-19,7
367,erin collier,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Lost,None,0,-6.0799999,4.8600001,No,0,0.0,0.0,0.0,0,0.0,0.0,,Yes,Yes,,,,,No,,No,,No,,19,NY-19,7
368,gareth rhodes,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Lost,None,0,-6.0799999,17.85,No,0,0.0,0.0,0.0,0,0.0,0.0,,No,No,,,,,No,,Yes,,No,,19,NY-19,7
369,jeff beals,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Lost,None,0,-6.0799999,13.18,No,0,0.0,0.0,0.0,0,0.0,0.0,,No,No,,,,,Yes,,No,,No,,19,NY-19,7
370,pat ryan,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Lost,None,0,-6.0799999,17.719999,No,0,1.0,0.0,0.0,0,0.0,0.0,,No,No,,,,,No,,Yes,,Yes,,19,NY-19,7
371,duwayne gregory,NY,U.S. House New York District 2,Representative,Regular,6/26/18,Lost,None,0,-8.2600002,41.639999,No,1,1.0,0.0,1.0,0,0.0,0.0,,No,Yes,,,,No,,,No,Yes,Yes,,2,NY-2,2
372,liuba grechen shirley,NY,U.S. House New York District 2,Representative,Regular,6/26/18,Advanced,None,1,-8.2600002,57.98,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,Yes,Yes,,,,Yes,,,Yes,No,No,,2,NY-2,2
373,dylan ratigan,NY,U.S. House New York District 21,Representative,Regular,6/26/18,Lost,None,0,-11.43,11.91,No,0,0.0,0.0,0.0,0,0.0,0.0,,,No,,,,No,No,,No,No,,,21,NY-21,5
374,emily martz,NY,U.S. House New York District 21,Representative,Regular,6/26/18,Lost,None,0,-11.43,10.37,No,0,0.0,0.0,0.0,0,0.0,0.0,,,No,,,,No,No,,No,No,,,21,NY-21,5
375,katie wilson,NY,U.S. House New York District 21,Representative,Regular,6/26/18,Lost,None,0,-11.43,11.68,No,0,0.0,0.0,0.0,0,0.0,0.0,,,No,,,,No,No,,No,Yes,,,21,NY-21,5
376,patrick nelson,NY,U.S. House New York District 21,Representative,Regular,6/26/18,Lost,None,0,-11.43,9.1199999,No,0,0.0,0.0,0.0,0,1.0,0.0,,,Yes,,,,Yes,Yes,,No,No,,,21,NY-21,5
377,tedra cobb,NY,U.S. House New York District 21,Representative,Regular,6/26/18,Advanced,None,1,-11.43,56.009998,Yes,0,0.0,0.0,1.0,0,0.0,0.0,,,Yes,,,,Yes,No,,Yes,No,,,21,NY-21,5
379,eddie sundquist,NY,U.S. House New York District 23,Representative,Regular,6/26/18,Lost,None,0,-13.93,6.4200001,No,0,0.0,1.0,0.0,0,1.0,0.0,,,No,,,,No,No,,,No,,,23,NY-23,5
380,ian golden,NY,U.S. House New York District 23,Representative,Regular,6/26/18,Lost,None,0,-13.93,13.44,No,0,0.0,0.0,0.0,0,0.0,0.0,,,No,,,,Yes,Yes,,,No,,,23,NY-23,5
381,linda andrei,NY,U.S. House New York District 23,Representative,Regular,6/26/18,Lost,None,0,-13.93,15.33,No,0,0.0,0.0,0.0,0,1.0,0.0,,,No,,,,No,No,,,No,,,23,NY-23,5
382,max della pia,NY,U.S. House New York District 23,Representative,Regular,6/26/18,Lost,None,0,-13.93,32.400002,No,0,1.0,0.0,0.0,0,0.0,0.0,,,No,,,,No,No,,,No,,,23,NY-23,5
