,Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,dist_num,District Abbrev,total_runners
53,katie porter,CA,U.S. House California District 45,Representative,Regular,6/5/18,Advanced,None,1,-1.4299999,44.040001,Yes,0,0.0,0.0,0.0,0,0.0,0.0,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,,,45,CA-45,4
54,kia hamadanchy,CA,U.S. House California District 45,Representative,Regular,6/5/18,Lost,None,0,-1.4299999,4.1500001,No,1,0.0,0.0,0.0,0,0.0,0.0,No,No,Yes,,No,,Yes,,No,,,,,45,CA-45,4
55,deanie schaarsmith,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,0,-4.1799998,1.79,No,0,0.0,0.0,0.0,0,0.0,0.0,No,No,No,,,,,No,,No,,,,48,CA-48,8
56,hans keirstead,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,0,-4.1799998,37.439999,No,0,0.0,0.0,0.0,1,1.0,0.0,No,No,Yes,,,,,No,,No,,,,48,CA-48,8
57,harley rouda,CA,U.S. House California District 48,Representative,Regular,6/5/18,Advanced,None,1,-4.1799998,37.599998,Yes,0,0.0,0.0,0.0,1,0.0,0.0,Yes,No,Yes,,,,,No,,Yes,,,,48,CA-48,8
58,laura oatman,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,0,-4.1799998,3.01,No,0,0.0,0.0,0.0,0,1.0,0.0,No,No,No,,,,,Yes,,No,,,,48,CA-48,8
59,michael kotick,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,0,-4.1799998,3.26,No,0,0.0,0.0,0.0,0,0.0,0.0,No,No,No,,,,,No,,No,,,,48,CA-48,8
60,omar siddiqui,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,0,-4.1799998,10.81,No,1,0.0,0.0,0.0,1,1.0,0.0,No,No,Yes,,,,,No,,No,,,,48,CA-48,8
61,rachel payne,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,0,-4.1799998,4.4899998,No,0,0.0,0.0,0.0,0,1.0,0.0,No,Yes,No,,,,,No,,No,,,,48,CA-48,8
62,tony zarkades,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,0,-4.1799998,1.6,No,0,1.0,0.0,0.0,0,1.0,0.0,No,No,No,,,,,No,,No,,,,48,CA-48,8
63,douglas applegate,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,None,0,1.42,25.76,No,0,1.0,0.0,0.0,0,0.0,0.0,No,No,,,,,,Yes,No,,,Yes,,49,CA-49,4
64,mike levin,CA,U.S. House California District 49,Representative,Regular,6/5/18,Advanced,None,1,1.42,34.400002,Yes,0,0.0,0.0,0.0,0,0.0,0.0,Yes,No,,,,,,No,Yes,,,No,,49,CA-49,4
65,paul kerr,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,None,0,1.42,8.75,No,0,1.0,0.0,0.0,1,0.0,0.0,No,No,,,,,,No,No,,,No,,49,CA-49,4
66,sara jacobs,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,None,0,1.42,31.09,No,0,0.0,0.0,0.0,1,0.0,1.0,No,Yes,,,,,,No,No,,,No,,49,CA-49,4
67,ammar campa-najjar,CA,U.S. House California District 50,Representative,Regular,6/5/18,Advanced,None,1,-19.48,48.360001,Yes,1,0.0,0.0,0.0,0,0.0,1.0,,,,,,,,Yes,Yes,Yes,,,,50,CA-50,3
68,josh butner,CA,U.S. House California District 50,Representative,Regular,6/5/18,Lost,None,0,-19.48,35.509998,No,0,1.0,0.0,0.0,0,0.0,0.0,,,,,,,,No,No,No,,Yes,,50,CA-50,3
