,Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,General Status,CAND_CONTRIB,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,INDIV_REFUNDS,CMTE_REFUNDS,CVG_END_DT,Emily Endorsed?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?
70,THOMAS HECKROTH,IA,U.S. House Iowa District 1,Representative,Regular,6/5/18,Lost,,1623.41,0.0,0.0,21899.0,0.0,09/30/2018,No,No,,,,,,,,
71,CINDY AXNE,IA,U.S. House Iowa District 3,Representative,Regular,6/5/18,Advanced,On the Ballot,7082.3,461976.96,22630.0,12707.18,1285.6,12/31/2018,Yes,,,No,No,,,,,
72,EDDIE MAURO,IA,U.S. House Iowa District 3,Representative,Regular,6/5/18,Lost,,56030.0,0.0,0.0,21950.0,0.0,12/31/2018,No,,,No,No,,,,,
73,JOHN PASCHEN,IA,U.S. House Iowa District 4,Representative,Regular,6/5/18,Lost,,2725.04,133.0,0.0,1645.0,0.0,07/31/2018,,,,,No,,,,No,
74,JAMES VANDERMAAS,ID,U.S. House Idaho District 1,Representative,Regular,5/15/18,Lost,,0.0,0.0,0.0,25.0,0.0,07/16/2018,,,,,,,,,,
75,BRENDAN KELLY,IL,U.S. House Illinois District 12,Representative,Regular,3/20/18,Advanced,On the Ballot,3515.97,594324.48,10000.0,38074.67,2100.0,12/31/2018,,Yes,,,,,,,,Yes
76,DAVID BEQUETTE,IL,U.S. House Illinois District 12,Representative,Regular,3/20/18,Lost,,3.0,0.0,0.0,250.0,0.0,06/30/2018,,No,,,,,,,,No
77,BETSY LONDRIGAN,IL,U.S. House Illinois District 13,Representative,Regular,3/20/18,Advanced,On the Ballot,15272.72,332432.21,0.0,38608.38,1000.0,12/31/2018,Yes,,,,,No,,,,
78,DAVID GILL,IL,U.S. House Illinois District 13,Representative,Regular,3/20/18,Lost,,768.65,258.34,0.0,0.0,0.0,10/23/2018,No,,,,,Yes,,,,
79,ERIK JONES,IL,U.S. House Illinois District 13,Representative,Regular,3/20/18,Lost,,4615.0,13000.0,0.0,24935.0,0.0,09/28/2018,No,,,,,No,,,,
80,GEORGE WEBER,IL,U.S. House Illinois District 14,Representative,Regular,3/20/18,Lost,,0.0,0.0,0.0,0.0,0.0,04/03/2018,No,,No,,No,,,,,
81,JIM WALZ,IL,U.S. House Illinois District 14,Representative,Regular,3/20/18,Lost,,0.0,0.0,0.0,0.0,0.0,09/30/2018,No,,No,,Yes,,,,,
82,LAUREN UNDERWOOD,IL,U.S. House Illinois District 14,Representative,Regular,3/20/18,Advanced,On the Ballot,9389.86,460237.54,6000.0,76904.72,750.0,12/31/2018,Yes,,Yes,,No,,,,,
83,VICTOR SWANSON,IL,U.S. House Illinois District 14,Representative,Regular,3/20/18,Lost,,2267.1,0.0,0.0,60.0,0.0,06/30/2018,No,,No,,No,,,,,
84,CARL SPOERER,IL,U.S. House Illinois District 15,Representative,Regular,3/20/18,Lost,,0.0,500.0,1350.0,0.0,0.0,04/05/2018,,,,,,,,,,
85,KEVIN GAITHER,IL,U.S. House Illinois District 15,Representative,Regular,3/20/18,Advanced,On the Ballot,30.0,8579.0,1000.0,500.0,0.0,12/31/2018,,,,,,,,,,
86,AMY BRIEL,IL,U.S. House Illinois District 16,Representative,Regular,3/20/18,Lost,,0.0,0.0,0.0,0.0,0.0,09/30/2018,,,,,Yes,,,,,
87,BETH VERCOLIO-OSMUND,IL,U.S. House Illinois District 16,Representative,Regular,3/20/18,Lost,,0.0,0.0,0.0,0.0,0.0,04/15/2018,,,,,No,,,,,
88,NEILL MOHAMMAD,IL,U.S. House Illinois District 16,Representative,Regular,3/20/18,Lost,,7221.2,0.0,0.0,2800.0,0.0,12/31/2018,,,,,No,,,,,
89,SARA DADY,IL,U.S. House Illinois District 16,Representative,Regular,3/20/18,Advanced,On the Ballot,2750.0,18730.0,0.0,1227.42,0.0,12/31/2018,,,,,No,,,,,
90,BRIAN DETERS,IL,U.S. House Illinois District 18,Representative,Regular,3/20/18,Lost,,816.6,200.0,0.0,100.0,0.0,12/31/2018,,,,,,,,,,
91,JUNIUS RODRIGUEZ,IL,U.S. House Illinois District 18,Representative,Regular,3/20/18,Advanced,On the Ballot,1926.01,2300.0,1360.0,0.0,0.0,12/31/2018,,,,,,,,,,
92,JESUS GARCIA,IL,U.S. House Illinois District 4,Representative,Regular,3/20/18,Advanced,On the Ballot,0.0,301115.9,5000.0,11389.33,360.0,12/31/2018,No,,,Yes,Yes,,,,,
93,RICHARD GONZALEZ,IL,U.S. House Illinois District 4,Representative,Regular,3/20/18,Lost,,0.0,0.0,0.0,0.0,0.0,06/06/2018,No,,,No,No,,,,,
94,SOL FLORES,IL,U.S. House Illinois District 4,Representative,Regular,3/20/18,Lost,,0.0,17250.0,0.0,13250.0,0.0,12/31/2018,Yes,,,No,No,,,,,
95,AMANDA HOWLAND,IL,U.S. House Illinois District 6,Representative,Regular,3/20/18,Lost,,39522.47,500.0,0.0,1500.0,0.0,07/15/2018,No,,,,,,,,,
96,BECKY WILKINS,IL,U.S. House Illinois District 6,Representative,Regular,3/20/18,Lost,,4610.04,0.0,0.0,6000.7,0.0,10/09/2018,No,,,,,,,,,
97,CAROLE CHENEY,IL,U.S. House Illinois District 6,Representative,Regular,3/20/18,Lost,,0.0,3750.0,0.0,12425.0,0.0,12/31/2018,No,,,,,,,,,
98,JENNIFER ZORDANI,IL,U.S. House Illinois District 6,Representative,Regular,3/20/18,Lost,,6.0,500.0,0.0,13801.24,0.0,12/31/2018,No,,,,,,,,,
99,KELLY MAZESKI,IL,U.S. House Illinois District 6,Representative,Regular,3/20/18,Lost,,7987.33,31222.92,0.0,31297.94,0.0,12/31/2018,Yes,,,,,,,,,
100,RYAN HUFFMAN,IL,U.S. House Illinois District 6,Representative,Regular,3/20/18,Lost,,670.49,0.0,0.0,0.0,0.0,06/20/2018,No,,,,,,,,,
101,SEAN CASTEN,IL,U.S. House Illinois District 6,Representative,Regular,3/20/18,Advanced,On the Ballot,0.0,441793.54,10000.0,53824.68,0.0,12/31/2018,No,,,,,,,,,
102,MEL HALL,IN,U.S. House Indiana District 2,Representative,Regular,5/8/18,Advanced,On the Ballot,22000.0,139725.0,2500.0,9050.7,0.0,12/31/2018,,,,,,,,,,
103,YATISH JOSHI,IN,U.S. House Indiana District 2,Representative,Regular,5/8/18,Lost,,0.0,0.0,0.0,0.0,0.0,06/30/2018,,,,,,,,,,
104,COURTNEY TRITCH,IN,U.S. House Indiana District 3,Representative,Regular,5/8/18,Advanced,On the Ballot,1034.23,19025.0,13458.62,932.46,2000.0,12/31/2018,,,,,,,,,,
