,Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,General Status,CAND_CONTRIB,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,INDIV_REFUNDS,CMTE_REFUNDS,CVG_END_DT,Emily Endorsed?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?
290,RAZ MASON,OR,U.S. House Oregon District 2,Representative,Regular,5/15/18,Lost,,0.0,0.0,0.0,0.0,0.0,09/30/2018,,,,,,,,,,
291,RACHEL REDDICK,PA,U.S. House Pennsylvania District 1,Representative,Regular,5/15/18,Lost,,2250.0,32950.0,0.0,28095.0,0.0,12/12/2018,Yes,,,,,,,,,Yes
292,STEVE BACHER,PA,U.S. House Pennsylvania District 1,Representative,Regular,5/15/18,Lost,,2600.0,0.0,0.0,0.0,0.0,06/30/2018,,,,,,,,,,
293,GEORGE SCOTT,PA,U.S. House Pennsylvania District 10,Representative,Regular,5/15/18,Advanced,On the Ballot,1225.0,271193.08,4884.23,796.25,1000.0,12/31/2018,,,,,,,,,,
294,SHAVONNIA CORBIN-JOHNSON,PA,U.S. House Pennsylvania District 10,Representative,Regular,5/15/18,Lost,,0.0,6000.0,0.0,7755.55,0.0,12/31/2018,Yes,,,,,,,,,
295,MARC FRIEDENBERG,PA,U.S. House Pennsylvania District 12,Representative,Regular,5/15/18,Advanced,On the Ballot,427.5,2945.29,0.0,0.0,0.0,12/31/2018,,,,,,,,,,
296,BRENT OTTAWAY,PA,U.S. House Pennsylvania District 13,Representative,Regular,5/15/18,Advanced,On the Ballot,3200.0,1750.0,3101.61,0.0,0.0,12/31/2018,,,,,,,,,,
297,BIBIANA BOERIO,PA,U.S. House Pennsylvania District 14,Representative,Regular,5/15/18,Advanced,On the Ballot,188820.98,29750.0,3000.0,3225.02,0.0,12/31/2018,,,,,,,,,,
298,ROBERT SOLOMON,PA,U.S. House Pennsylvania District 14,Representative,Regular,5/15/18,Lost,,0.0,0.0,0.0,0.0,0.0,09/30/2018,,,,,,,,,,
299,SUSAN BOSER,PA,U.S. House Pennsylvania District 15,Representative,Regular,5/15/18,Advanced,On the Ballot,3518.09,5103.93,1941.46,0.0,0.0,12/31/2018,,,,,,,,,,
300,CHRIS RIEGER,PA,U.S. House Pennsylvania District 16,Representative,Regular,5/15/18,Lost,,0.0,5000.0,0.0,0.0,0.0,12/31/2018,,,,,,,,,,
301,ROBERT MULTARI,PA,U.S. House Pennsylvania District 16,Representative,Regular,5/15/18,Lost,,0.0,0.0,0.0,0.0,0.0,07/30/2018,,,,,,,,,,
302,MADELEINE DEAN,PA,U.S. House Pennsylvania District 4,Representative,Regular,5/15/18,Advanced,On the Ballot,3428.78,487949.56,0.0,283.17,100.0,12/31/2018,Yes,,,,,,,,,
303,SHIRA GOODMAN,PA,U.S. House Pennsylvania District 4,Representative,Regular,5/15/18,Lost,,16558.46,2150.0,0.0,5950.0,0.0,07/01/2018,,,,,,,,,,
304,ASHLEY LUNKENHEIMER,PA,U.S. House Pennsylvania District 5,Representative,Regular,5/15/18,Lost,,47555.92,5572.05,0.0,43101.0,0.0,09/30/2018,,,,,,,,,,
305,LARRY ARATA,PA,U.S. House Pennsylvania District 5,Representative,Regular,5/15/18,Lost,,400.0,0.0,0.0,0.0,0.0,12/31/2018,,,,,,,,,,
306,LINDY LI,PA,U.S. House Pennsylvania District 5,Representative,Regular,5/15/18,Lost,,0.0,0.0,0.0,0.0,0.0,12/31/2018,,,,,,,,,,
307,MARGO DAVIDSON,PA,U.S. House Pennsylvania District 5,Representative,Regular,5/15/18,Lost,,522.3,1500.0,0.0,2100.0,0.0,06/18/2018,,,,,,,,,,
308,MARY SCANLON,PA,U.S. House Pennsylvania District 5,Representative,Regular,5/15/18,Advanced,On the Ballot,50000.0,327398.45,0.0,1419.67,0.0,12/31/2018,,,,,,,,,,
309,MOLLY SHEEHAN,PA,U.S. House Pennsylvania District 5,Representative,Regular,5/15/18,Lost,,552.4,0.0,0.0,25.0,0.0,10/14/2018,,,,,Yes,,,,,
310,THADDEUS KIRKLAND,PA,U.S. House Pennsylvania District 5,Representative,Regular,5/15/18,Lost,,800.0,2000.0,0.0,0.0,0.0,12/31/2018,,,,,,,,,,
311,THERESA WRIGHT,PA,U.S. House Pennsylvania District 5,Representative,Regular,5/15/18,Lost,,250.0,0.0,0.0,0.0,0.0,05/26/2018,,,,,,,,,,
312,THERESA WRIGHT,PA,U.S. House Pennsylvania District 5,Representative,Regular,5/15/18,Lost,,250.0,0.0,0.0,0.0,0.0,05/26/2018,,,,,,,,,,
313,GREG EDWARDS,PA,U.S. House Pennsylvania District 7,Representative,Regular,5/15/18,Lost,,2000.0,13669.71,0.0,4078.88,0.0,12/31/2018,,,,Yes,,Yes,Yes,,Yes,
314,JOHN MORGANELLI,PA,U.S. House Pennsylvania District 7,Representative,Regular,5/15/18,Lost,,0.0,27700.0,0.0,0.0,0.0,06/30/2018,,,,,,,,,,
315,ROGER RUGGLES,PA,U.S. House Pennsylvania District 7,Representative,Regular,5/15/18,Lost,,806.0,0.0,0.0,0.0,0.0,06/30/2018,,,,,,,,,,
316,SUSAN WILD,PA,U.S. House Pennsylvania District 7,Representative,Regular,5/15/18,Advanced,On the Ballot,297.51,535757.82,7506.15,15841.41,250.0,12/31/2018,Yes,,,,,,,,,
317,DENNY WOLFF,PA,U.S. House Pennsylvania District 9,Representative,Regular,5/15/18,Advanced,On the Ballot,23071.19,112622.19,0.0,250.0,0.0,12/31/2018,,,,,,,,,,
318,GARY WEGMAN,PA,U.S. House Pennsylvania District 9,Representative,Regular,5/15/18,Lost,,24000.0,0.0,2500.0,0.0,0.0,12/31/2018,,,,,,,,,,
319,LAURA QUICK,PA,U.S. House Pennsylvania District 9,Representative,Regular,5/15/18,Lost,,1300.0,6740.0,0.0,0.0,0.0,12/31/2018,,,,,,,,,,
320,TOBY SMITH,SC,U.S. House South Carolina District 1,Representative,Regular,6/12/18,Lost,,1136.0,0.0,0.0,0.0,0.0,07/15/2018,,,,,,,,,,
321,ANNABELLE ROBERTSON,SC,U.S. House South Carolina District 2,Representative,Regular,6/12/18,Advanced,,0.0,0.0,0.0,100.0,0.0,12/31/2018,,,,,Yes,,,,,
322,SEAN CARRIGAN,SC,U.S. House South Carolina District 2,Representative,Regular,6/12/18,Advanced,On the Ballot,0.0,5747.08,0.0,0.0,0.0,12/31/2018,,,,,,,,,,
323,HOSEA CLEVELAND,SC,U.S. House South Carolina District 3,Representative,Regular,6/12/18,Lost,,10847.0,0.0,450.0,0.0,0.0,12/31/2018,,,,,,,,,,
324,MARY GEREN,SC,U.S. House South Carolina District 3,Representative,Regular,6/12/18,Advanced,On the Ballot,0.0,30814.25,500.0,0.0,0.0,12/31/2018,,,,,Yes,,,,,
325,BRANDON BROWN,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Advanced,On the Ballot,2500.0,11238.07,375.0,0.0,0.0,11/26/2018,,,,,,,,,,
326,ERIC GRABEN,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,,2700.0,0.0,0.0,0.0,0.0,06/30/2018,,,,,,,,,,
327,ARCHIE PARNELL,SC,U.S. House South Carolina District 5,Representative,Regular,6/12/18,Advanced,On the Ballot,200000.0,83387.5,0.0,27733.5,5000.0,12/31/2018,,,,,,,,,,
328,MARK ALI,SC,U.S. House South Carolina District 5,Representative,Regular,6/12/18,Lost,,20.0,0.0,0.0,0.0,0.0,05/31/2018,,,,,,,,,,
329,BRUCE FISCHER,SC,U.S. House South Carolina District 7,Representative,Regular,6/12/18,Lost,,1118.02,0.0,0.0,0.0,0.0,06/30/2018,,,,,No,,,,,
330,MAL HYMAN,SC,U.S. House South Carolina District 7,Representative,Regular,6/12/18,Advanced,,0.0,0.0,0.0,0.0,0.0,10/14/2018,,,,,Yes,,,,,
331,ROBERT WILLIAMS,SC,U.S. House South Carolina District 7,Representative,Regular,6/12/18,Advanced,On the Ballot,125.0,500.0,24.95,0.0,0.0,12/31/2018,,,,,No,,,,,
332,TIMOTHY BJORKMAN,SD,U.S. House South Dakota At-large District,Representative,Regular,6/5/18,Advanced,On the Ballot,83427.04,17997.55,250.0,800.0,0.0,12/31/2018,,,,,,,,,,
333,JOSHUA WILLIAMS,TN,U.S. House Tennessee District 2,Representative,Regular,8/2/18,Lost,,1238.99,0.0,0.0,5000.0,0.0,09/30/2018,,,,,No,,,No,,
334,RENEE HOYOS,TN,U.S. House Tennessee District 2,Representative,Regular,8/2/18,Advanced,On the Ballot,6334.61,989.78,0.0,0.0,689.78,12/31/2018,,,,,Yes,,,Yes,,
335,DANIELLE MITCHELL,TN,U.S. House Tennessee District 3,Representative,Regular,8/2/18,Advanced,On the Ballot,11046.77,10200.0,900.0,25.0,0.0,12/31/2018,,,,,,,,Yes,,
336,CHRISTOPHER HALE,TN,U.S. House Tennessee District 4,Representative,Regular,8/2/18,Lost,,21835.79,0.0,0.0,0.0,0.0,12/31/2018,,,,,,,,No,,
337,MARIAH PHILLIPS,TN,U.S. House Tennessee District 4,Representative,Regular,8/2/18,Advanced,On the Ballot,14669.67,26699.85,0.0,1902.98,1.81,12/31/2018,,,,,,,,Yes,,
338,STEVEN REYNOLDS,TN,U.S. House Tennessee District 4,Representative,Regular,8/2/18,Lost,,0.0,0.0,0.0,0.0,0.0,07/13/2018,,,,,,,,No,,
339,DAWN BARLOW,TN,U.S. House Tennessee District 6,Representative,Regular,8/2/18,Advanced,On the Ballot,6200.0,1142.95,17186.88,0.0,0.0,12/31/2018,,,,,,,,No,,
340,MERRILEE WINEINGER,TN,U.S. House Tennessee District 6,Representative,Regular,8/2/18,Lost,,24943.71,0.0,0.0,1325.0,0.0,08/23/2018,,,,,,,,Yes,,
341,PETER HEFFERNAN,TN,U.S. House Tennessee District 6,Representative,Regular,8/2/18,Lost,,1849.63,0.0,0.0,1000.0,0.0,12/31/2018,,,,,,,,No,,
342,JUSTIN KANEW,TN,U.S. House Tennessee District 7,Representative,Regular,8/2/18,Advanced,On the Ballot,3400.0,0.0,0.0,60.43,0.0,12/31/2018,,,,,,,,Yes,,
343,MATT REEL,TN,U.S. House Tennessee District 7,Representative,Regular,8/2/18,Lost,,2700.0,9500.0,0.0,15800.0,0.0,12/31/2018,,,,,,,,No,,
344,BRENT BEAL,TX,U.S. House Texas District 1,Representative,Regular,3/6/18,Lost,,1388.14,0.0,4000.0,2000.0,0.0,12/31/2018,,,,,Yes,,,,,
345,SHIRLEY MCKELLAR,TX,U.S. House Texas District 1,Representative,Regular,3/6/18,Advanced,On the Ballot,200.0,0.0,1450.0,0.0,0.0,12/31/2018,,,,,No,,,,,
346,KEVIN NELSON,TX,U.S. House Texas District 10,Representative,Regular,3/6/18,Lost,,4219.21,0.0,0.0,0.0,0.0,12/31/2018,,,,,,,,,,
347,MADELINE EDEN,TX,U.S. House Texas District 10,Representative,Regular,3/6/18,Lost,,25.0,0.0,0.0,0.0,0.0,02/14/2018,,,,,,,,,,
348,MATT HARRIS,TX,U.S. House Texas District 10,Representative,Regular,3/6/18,Lost,,0.0,0.0,0.0,0.0,0.0,02/14/2018,,,,,,,,,,
349,TAMI WALKER,TX,U.S. House Texas District 10,Representative,Regular,3/6/18,Lost,,8496.12,150.0,4000.0,0.0,0.0,03/30/2018,,,,,,,,,,
350,VANESSA ADIA,TX,U.S. House Texas District 12,Representative,Regular,3/6/18,Advanced,On the Ballot,1050.0,8107.32,0.0,555.05,0.0,12/31/2018,,,,,,Yes,,,,
351,ADRIENNE BELL,TX,U.S. House Texas District 14,Representative,Regular,3/6/18,Advanced,On the Ballot,0.0,19428.38,4000.0,1543.1,0.0,12/31/2018,,,,,Yes,Yes,,,,
352,DORI FENENBOCK,TX,U.S. House Texas District 16,Representative,Regular,3/6/18,Lost,,0.0,8850.0,4000.0,123800.0,1500.0,11/05/2018,No,,,,No,,No,,,
353,ENRIQUE GARCIA,TX,U.S. House Texas District 16,Representative,Regular,3/6/18,Lost,,0.0,0.0,0.0,0.0,0.0,04/30/2018,No,,,,No,,No,,,
354,JEROME TILGHMAN,TX,U.S. House Texas District 16,Representative,Regular,3/6/18,Lost,,26526.0,0.0,0.0,0.0,0.0,03/31/2018,No,,,,No,,No,,,
355,JOHN CARRILLO,TX,U.S. House Texas District 16,Representative,Regular,3/6/18,Lost,,0.0,0.0,0.0,0.0,0.0,09/30/2017,No,,,,No,,No,,,
356,NORMA CHAVEZ,TX,U.S. House Texas District 16,Representative,Regular,3/6/18,Lost,,0.0,0.0,0.0,0.0,0.0,12/31/2018,No,,,,No,,No,,,
357,VERONICA ESCOBAR,TX,U.S. House Texas District 16,Representative,Regular,3/6/18,Advanced,On the Ballot,0.0,421840.11,4000.0,17615.09,0.0,12/31/2018,Yes,,,,Yes,,Yes,,,
358,DALE MANTEY,TX,U.S. House Texas District 17,Representative,Regular,3/6/18,Lost,,4000.0,0.0,0.0,0.0,0.0,03/31/2018,,,,,Yes,,,,,
359,MIGUEL LEVARIO,TX,U.S. House Texas District 19,Representative,Regular,3/6/18,Advanced,On the Ballot,0.0,3482.83,1673.83,0.0,0.0,12/31/2018,,,,,,,,,,
360,ALI KHORASANI,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Lost,,2528.64,0.0,4216.5,0.0,0.0,02/14/2018,,,,,Yes,No,,,,
361,SILKY MALIK,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Lost,,11113.18,0.0,4000.0,0.0,0.0,03/31/2018,,,,,No,No,,,,
362,TODD LITTON,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Advanced,On the Ballot,7787.09,87907.39,4000.0,20067.96,0.0,12/31/2018,,,,,No,No,,,,
363,DERRICK CROWE,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,,1955.0,2724.67,4000.0,1861.0,0.0,10/19/2018,,,,,Yes,Yes,,,,No
364,ELLIOTT MCFADDEN,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,,0.0,750.0,0.0,21.0,0.0,03/31/2018,,,,,No,No,,,,No
365,JOSEPH KOPSER,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Advanced,On the Ballot,7177.5,185086.48,4000.0,68964.5,3200.0,12/31/2018,,,,,No,No,,,,Yes
366,MARY WILSON,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Advanced,,6204.07,1120.02,0.0,100.0,0.0,12/31/2018,,,,,No,Yes,,,,No
367,LETITIA PLUMMER,TX,U.S. House Texas District 22,Representative,Regular,3/6/18,Advanced,,2943.56,8582.0,4000.0,572.16,0.0,12/31/2018,,,,,No,Yes,,,,
368,MARGARITA JOHNSON,TX,U.S. House Texas District 22,Representative,Regular,3/6/18,Lost,,400.0,0.0,0.0,0.0,0.0,03/06/2018,,,,,No,No,,,,
369,MARK GIBSON,TX,U.S. House Texas District 22,Representative,Regular,3/6/18,Lost,,0.0,0.0,1525.79,0.0,0.0,12/31/2018,,,,,No,No,,,,
370,SRI KULKARNI,TX,U.S. House Texas District 22,Representative,Regular,3/6/18,Advanced,On the Ballot,14824.9,105502.0,1000.0,12549.99,1000.0,12/31/2018,,,,,No,No,,,,
371,ANGELA VILLESCAZ,TX,U.S. House Texas District 23,Representative,Regular,3/6/18,Lost,,0.0,0.0,0.0,0.0,0.0,02/14/2018,No,,,,No,No,,,,No
372,GINA JONES,TX,U.S. House Texas District 23,Representative,Regular,3/6/18,Advanced,On the Ballot,200.0,482859.34,4000.0,21549.9,5000.0,12/31/2018,Yes,,,,No,No,,,,Yes
373,JAY HULINGS,TX,U.S. House Texas District 23,Representative,Regular,3/6/18,Lost,,14773.97,102800.0,0.0,37748.67,12300.0,12/31/2018,No,,,,No,No,,,,No
374,JAN MCDOWELL,TX,U.S. House Texas District 24,Representative,Regular,3/6/18,Advanced,On the Ballot,0.0,0.0,5000.0,0.0,0.0,12/31/2018,,,,,,,,,,
375,JOHN BIGGAN,TX,U.S. House Texas District 24,Representative,Regular,3/6/18,Lost,,12736.64,0.0,4000.0,0.0,0.0,06/30/2018,,,,,,,,,,
376,CHETAN PANDA,TX,U.S. House Texas District 25,Representative,Regular,3/6/18,Lost,,0.0,0.0,0.0,0.0,0.0,07/18/2018,,,,,No,,,No,,
377,JULIE OLIVER,TX,U.S. House Texas District 25,Representative,Regular,3/6/18,Advanced,On the Ballot,3799.49,700.0,4000.0,500.0,0.0,12/31/2018,,,,,No,,,No,,
378,KATHI THOMAS,TX,U.S. House Texas District 25,Representative,Regular,3/6/18,Lost,,0.0,0.0,4000.0,0.0,0.0,07/10/2018,,,,,No,,,No,,
379,LINSEY FAGAN,TX,U.S. House Texas District 26,Representative,Regular,3/6/18,Advanced,On the Ballot,1173.18,0.0,4000.0,0.0,0.0,12/31/2018,,,,,Yes,Yes,,,,
380,ERIC HOLGUIN,TX,U.S. House Texas District 27,Representative,Regular,3/6/18,Advanced,On the Ballot,0.0,16950.0,5650.0,0.0,0.0,12/31/2018,,,,,Yes,,,,,
381,RAUL BARRERA,TX,U.S. House Texas District 27,Representative,Regular,3/6/18,Advanced,,0.0,0.0,2000.0,0.0,0.0,08/21/2018,,,,,No,,,,,
382,RONNIE MCDONALD,TX,U.S. House Texas District 27,Representative,Regular,3/6/18,Lost,,0.0,0.0,0.0,0.0,0.0,07/15/2018,,,,,,,,,,
383,AUGUSTINE REYES,TX,U.S. House Texas District 29,Representative,Regular,3/6/18,Lost,,0.0,0.0,0.0,1800.0,0.0,03/31/2018,No,,,,No,,,,,
384,HECTOR MORALES,TX,U.S. House Texas District 29,Representative,Regular,3/6/18,Lost,,105.0,0.0,0.0,0.0,0.0,12/31/2018,No,,,,Yes,Yes,,,,
385,PEDRO VALENCIA,TX,U.S. House Texas District 29,Representative,Regular,3/6/18,Lost,,0.0,0.0,0.0,0.0,0.0,06/30/2018,No,,,,No,,,,,
386,ROEL GARCIA,TX,U.S. House Texas District 29,Representative,Regular,3/6/18,Lost,,266.93,0.0,0.0,500.0,0.0,12/31/2018,No,,,,No,,,,,
387,SYLVIA GARCIA,TX,U.S. House Texas District 29,Representative,Regular,3/6/18,Advanced,On the Ballot,3130.0,553422.2,4000.0,2275.0,6000.0,12/31/2018,Yes,,,,No,,,,,
388,ADAM BELL,TX,U.S. House Texas District 3,Representative,Regular,3/6/18,Lost,,0.0,0.0,0.0,0.0,0.0,06/30/2018,,,,,,No,,,,
389,LORIE BURCH,TX,U.S. House Texas District 3,Representative,Regular,3/6/18,Advanced,On the Ballot,1100.0,0.0,4000.0,88.74,0.0,12/31/2018,,,,,,Yes,,,,
390,MEDRICK YHAP,TX,U.S. House Texas District 3,Representative,Regular,3/6/18,Lost,,0.0,0.0,0.0,0.0,0.0,03/31/2018,,,,,,No,,,,
391,CHRISTINE MANN,TX,U.S. House Texas District 31,Representative,Regular,3/6/18,Advanced,,2114.26,0.0,4000.0,0.0,0.0,12/31/2018,,,,,Yes,,,,,
392,MIKE CLARK,TX,U.S. House Texas District 31,Representative,Regular,3/6/18,Lost,,535.57,0.0,0.0,0.0,0.0,12/31/2018,,,,,No,,,,,
393,BRETT SHIPP,TX,U.S. House Texas District 32,Representative,Regular,3/6/18,Lost,,1.0,500.0,4000.0,0.0,0.0,03/22/2018,No,,,,,,,,,
394,COLIN ALLRED,TX,U.S. House Texas District 32,Representative,Regular,3/6/18,Advanced,On the Ballot,0.0,467225.78,4871.93,42271.49,9125.64,12/31/2018,No,,,,,,,,,
395,GEORGE RODRIGUEZ,TX,U.S. House Texas District 32,Representative,Regular,3/6/18,Lost,,8192.75,0.0,0.0,0.0,0.0,07/24/2018,No,,,,,,,,,
396,LILLIAN SALERNO,TX,U.S. House Texas District 32,Representative,Regular,3/6/18,Advanced,,17409.1,19000.0,0.0,29160.0,0.0,12/31/2018,Yes,,,,,,,,,
397,TODD MATERNOWSKI,TX,U.S. House Texas District 32,Representative,Regular,3/6/18,Lost,,0.0,0.0,0.0,0.0,0.0,03/07/2018,No,,,,,,,,,
398,DAYNA STEELE,TX,U.S. House Texas District 36,Representative,Regular,3/6/18,Advanced,On the Ballot,137.0,14700.0,0.0,14864.12,0.0,12/31/2018,,,,,Yes,,,Yes,,
399,CATHERINE KRANTZ,TX,U.S. House Texas District 4,Representative,Regular,3/6/18,Advanced,On the Ballot,0.0,549.57,535.0,0.0,0.0,12/31/2018,,,,,,,,,,
400,JANA SANCHEZ,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Advanced,On the Ballot,972.49,64642.68,4000.0,3500.0,0.0,12/31/2018,,,,,No,,,,,
401,JOHN DUNCAN,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Lost,,3724.38,0.0,4000.0,6.0,0.0,05/03/2018,,,,,No,,,,,
402,JUSTIN SNIDER,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Lost,,600.0,500.0,0.0,127.0,0.0,09/17/2018,,,,,Yes,,,,,
403,LEVII SHOCKLEE,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Lost,,75.0,0.0,4000.0,431.38,0.0,04/13/2018,,,,,No,,,,,
404,RUBY WOOLRIDGE,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Advanced,,417.91,325.0,0.0,0.0,0.0,12/31/2018,,,,,No,,,,,
405,IVAN SANCHEZ,TX,U.S. House Texas District 7,Representative,Regular,3/6/18,Lost,,1381.97,100.0,0.0,600.0,0.0,05/30/2018,No,,,,No,No,,,No,
406,JAMES CARGAS,TX,U.S. House Texas District 7,Representative,Regular,3/6/18,Lost,,34900.0,0.0,0.0,143.0,0.0,10/10/2018,No,,,,No,No,,,No,
407,JASON WESTIN,TX,U.S. House Texas District 7,Representative,Regular,3/6/18,Lost,,5588.84,12000.0,4000.0,44041.0,0.0,10/21/2018,No,,,,No,No,,,No,
408,JOSHUA BUTLER,TX,U.S. House Texas District 7,Representative,Regular,3/6/18,Lost,,275.0,0.0,4000.0,0.0,0.0,12/31/2018,No,,,,No,No,,,No,
409,LAURA MOSER,TX,U.S. House Texas District 7,Representative,Regular,3/6/18,Advanced,,2455.12,13269.03,4000.0,25930.99,0.0,12/31/2018,No,,,,Yes,Yes,,,Yes,
410,STEVEN DAVID,TX,U.S. House Texas District 8,Representative,Regular,3/6/18,Advanced,On the Ballot,0.0,2000.0,0.0,0.0,0.0,12/31/2018,,,,,,,,,,
411,EDWARD KIMBROUGH,TX,U.S. Senate Texas,Senator,Regular,3/6/18,Lost,,0.0,0.0,0.0,0.0,0.0,06/30/2018,,,,,,,,No,,
412,LEE CASTILLO,UT,U.S. House Utah District 1,Representative,Regular,6/26/18,Advanced,On the Ballot,0.0,0.0,0.0,0.0,0.0,11/26/2018,,,,,,,,,,
413,SHIREEN GHORBANI,UT,U.S. House Utah District 2,Representative,Regular,6/26/18,Advanced,On the Ballot,1637.83,211.94,8218.48,300.0,0.0,12/31/2018,,,,,,,,,,
414,JAMES SINGER,UT,U.S. House Utah District 3,Representative,Regular,6/26/18,Advanced,On the Ballot,0.0,0.0,0.0,75.0,0.0,12/31/2018,,,,,,,,,,
415,JAMES SINGER,UT,U.S. House Utah District 3,Representative,Regular,6/26/18,Advanced,On the Ballot,0.0,0.0,0.0,0.0,0.0,06/30/2017,,,,,,,,,,
416,BEN MCADAMS,UT,U.S. House Utah District 4,Representative,Regular,6/26/18,Advanced,On the Ballot,0.0,445761.91,8223.08,6500.0,2500.0,12/31/2018,,,,,,,,,,
417,JENNY WILSON,UT,U.S. Senate Utah,Senator,Regular,6/26/18,Advanced,On the Ballot,0.0,92277.5,8000.0,2660.13,0.0,12/31/2018,,,,,,,,,,
418,EDWIN SANTANA,VA,U.S. House Virginia District 1,Representative,Regular,6/12/18,Lost,,0.0,2500.0,0.0,0.0,0.0,12/31/2018,,,,,Yes,,,,,
419,JOHN SUDDARTH,VA,U.S. House Virginia District 1,Representative,Regular,6/12/18,Lost,,35578.38,1500.0,0.0,0.0,0.0,07/06/2018,,,,,No,,,,,
420,VANGIE WILLIAMS,VA,U.S. House Virginia District 1,Representative,Regular,6/12/18,Advanced,On the Ballot,0.0,8329.67,5125.0,100.0,0.0,12/31/2018,,,,,No,,,,,
421,ALISON FRIEDMAN,VA,U.S. House Virginia District 10,Representative,Regular,6/12/18,Lost,,1080365.35,16600.0,0.0,299015.86,1000.0,12/31/2018,,,,,No,,,,,No
422,JENNIFER WEXTON,VA,U.S. House Virginia District 10,Representative,Regular,6/12/18,Advanced,On the Ballot,0.0,507281.8,15000.0,53840.87,3141.12,12/31/2018,,,,,No,,,,,No
423,JULIA BIGGINS,VA,U.S. House Virginia District 10,Representative,Regular,6/12/18,Lost,,0.0,200.0,0.0,25.0,0.0,06/30/2018,,,,,Yes,,,,,No
424,LINDSEY STOVER,VA,U.S. House Virginia District 10,Representative,Regular,6/12/18,Lost,,4805.38,32000.0,0.0,175761.18,0.0,12/31/2018,,,,,No,,,,,No
425,ELAINE LURIA,VA,U.S. House Virginia District 2,Representative,Regular,6/12/18,Advanced,On the Ballot,5360.1,455889.39,10000.0,28196.7,7000.0,12/31/2018,Yes,,,,,,,,No,Yes
426,KAREN MALLARD,VA,U.S. House Virginia District 2,Representative,Regular,6/12/18,Lost,,2619.86,6412.98,0.0,2975.72,0.0,10/31/2018,No,,,,,,,,Yes,No
427,LESLIE COCKBURN,VA,U.S. House Virginia District 5,Representative,Regular,6/12/18,Advanced,On the Ballot,178158.15,178240.9,3856.26,27538.57,250.0,12/31/2018,Yes,,,,,,,,,
428,CHARLOTTE MOORE,VA,U.S. House Virginia District 6,Representative,Regular,6/12/18,Lost,,0.0,0.0,0.0,0.0,0.0,09/03/2018,,,,,No,,,,,
429,JENNIFER LEWIS,VA,U.S. House Virginia District 6,Representative,Regular,6/12/18,Advanced,On the Ballot,0.0,1416.0,3000.0,100.0,0.0,12/31/2018,,,,,Yes,,,,,
430,PETER VOLOSIN,VA,U.S. House Virginia District 6,Representative,Regular,6/12/18,Lost,,0.0,0.0,0.0,0.0,0.0,12/31/2018,,,,,No,,,,,
431,SERGIO COPPOLA,VA,U.S. House Virginia District 6,Representative,Regular,6/12/18,Lost,,580.52,0.0,0.0,0.0,0.0,06/18/2018,,,,,No,,,,,
432,ABIGAIL SPANBERGER,VA,U.S. House Virginia District 7,Representative,Regular,6/12/18,Advanced,On the Ballot,0.0,450180.69,4693.29,83502.96,95.24,12/31/2018,Yes,,,,,,,,,No
433,ANTHONY FLACCAVENTO,VA,U.S. House Virginia District 9,Representative,Regular,6/12/18,Advanced,On the Ballot,13545.0,18854.18,5000.0,1581.72,500.0,12/31/2018,,,,,Yes,,,,,
434,JUSTIN SANTOPIETRO,VA,U.S. House Virginia District 9,Representative,Regular,6/12/18,Lost,,1500.0,0.0,0.0,0.0,0.0,06/30/2018,,,,,No,,,,,
435,CAROLYN LONG,WA,U.S. House Washington District 3,Representative,Regular,8/7/18,Advanced,On the Ballot,2896.9,308098.56,2081.7,18738.41,0.0,12/31/2018,Yes,,,,No,No,,Yes,,
436,DAVID MCDEVITT,WA,U.S. House Washington District 3,Representative,Regular,8/7/18,Lost,,0.0,0.0,0.0,0.0,0.0,12/31/2018,No,,,,No,No,,No,,
437,DOROTHY GASQUE,WA,U.S. House Washington District 3,Representative,Regular,8/7/18,Lost,,0.0,311.5,0.0,0.0,0.0,07/18/2018,No,,,,Yes,Yes,,No,,
438,CHRISTINE BROWN,WA,U.S. House Washington District 4,Representative,Regular,8/7/18,Advanced,On the Ballot,20.0,1806.92,0.0,100.0,0.0,12/31/2018,,,,,,,,,,
