,Primary.Outcome,District,Brookings Candidate,Female,Listed.military.service.,Education,Marital.Status,Previous.Electoral.Experience,Position.on.Affordable.Care.Act..ObamaCare.,Position.on.Minimum.Wage,Position.on.Federal.Taxes,Position.on.Business.Regulations,Position.on.National.Debt.Deficit,Position.on.Social.Security,Position.on.Gun.Control,Position.on.Immigration,Position.on.Abortion,Position.on.Same.Sex.Marriage,Position.on.Criminal.Justice.Reform,Position.on.Federal.K.12.Education.Policy,Position.on.Climate.Change,Position.on.Campaign.Finance.Reform,Position.on.Legalization.Decriminalization.of.Marijuana.Policy,Position.on.Defense.Spending,Position.on.Handling.Terrorism.Abroad,Position.on.Russia,Party.Category,Trump.Mention,Obama.Mention,Sanders.Mention,Clinton.Mention,Special.Counsel.Mention,Travel.Ban.Mention,SinglePayer,total_runners_brookings,General Status,District Abbrev,House Candidate,Partisan Lean,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,total_runners_house
226,1,MI-10,kimberly bizon,1.0,"No, the candidate does not include any information about serving in the military",No Education Information Listed,No information,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate provides no information,Candidate provides no information,Candidate supports marriage equality measures,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",3,1.0,MI-10,kimberly bizon,-29.58,White,No,No,No,No,No,No,,,,,,,,,,,,,,3
227,0,MI-11,fayrouz saad,1.0,"No, the candidate does not include any information about serving in the military",Master's Degree (includes MBA),Married,Candidate mentions previous elected office experience,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate supports placing smart regulations on business,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate provides no information,Candidate supports major criminal justice reform,Candidate provides complicated/complex/unclear position,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports calls for increased American intervention to combat terrorism,Candidate notes Russia as political enemy of the United States,Progressive Democrat,NEGATIVE MENTION,POSITIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",5,0.0,MI-11,fayrouz saad,-7.1799998,Nonwhite,No,No,No,No,No,Yes,,,,,,,,Yes,,,,,,5
228,0,MI-11,nancy skinner,1.0,"No, the candidate does not include any information about serving in the military",Bachelor's Degree,No information,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate provides no information,Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate provides no information,Candidate provides no information,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate provides no information,Candidate notes Russia as political enemy of the United States,Progressive Democrat,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",5,0.0,MI-11,nancy skinner,-7.1799998,White,No,No,No,No,No,No,,,,,,,,No,,,,,,5
229,0,MI-11,suneel gupta,0.0,"No, the candidate does not include any information about serving in the military",J.D.,Married,,Candidate explicitly supports ACA,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate supports legalization/decriminalization of marijuana,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Progressive Democrat,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,5,0.0,MI-11,suneel gupta,-7.1799998,Nonwhite,No,No,No,No,Yes,No,,,,,,,,No,,,,,,5
230,0,MI-11,tim greimel,0.0,"No, the candidate does not include any information about serving in the military",J.D.,No information,Candidate mentions previous elected office experience,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",5,0.0,MI-11,tim greimel,-7.1799998,White,No,No,Yes,No,No,No,,,,,,,,No,,,,,,5
231,1,MI-11,haley stevens,1.0,"No, the candidate does not include any information about serving in the military",Master's Degree (includes MBA),No information,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate supports legalization/decriminalization of marijuana,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Establishment Democrat,NEGATIVE MENTION,POSITIVE MENTION,NO MENTION,POSITIVE MENTION,NO MENTION,NO MENTION,,5,1.0,MI-11,haley stevens,-7.1799998,White,No,No,No,No,No,Yes,,,,,,,,No,,,,,,5
232,0,MI-13,shanelle jackson,1.0,"No, the candidate does not include any information about serving in the military",Master's Degree (includes MBA),No information,Candidate mentions previous elected office experience,Candidate explicitly supports ACA,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate supports placing smart regulations on business,Candidate calls for lowering the national debt or calls for deficit reduction,Candidate supports protecting the status quo Social Security system,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports major criminal justice reform,Candidate provides no information,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,NEGATIVE MENTION,POSITIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,6,0.0,MI-13,shanelle jackson,60.720001,Nonwhite,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,,6
233,0,MI-13,ian conyers,0.0,"No, the candidate does not include any information about serving in the military",Master's Degree (includes MBA),No information,Candidate mentions previous elected office experience,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,NO MENTION,POSITIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,6,0.0,MI-13,ian conyers,60.720001,Nonwhite,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,,6
234,0,MI-13,bill wild,0.0,"No, the candidate does not include any information about serving in the military",No Education Information Listed,Married,Candidate mentions previous elected office experience,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",6,0.0,MI-13,bill wild,60.720001,White,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,,6
235,0,MI-13,coleman young,0.0,"No, the candidate does not include any information about serving in the military",Bachelor's Degree,No information,Candidate mentions previous elected office experience,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate provides no information,Candidate supports placing smart regulations on business,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",6,0.0,MI-13,coleman young ii,60.720001,Nonwhite,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,,6
236,0,MI-13,brenda jones,1.0,"No, the candidate does not include any information about serving in the military",Bachelor's Degree,No information,Candidate mentions previous elected office experience,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate provides no information,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,Candidate supports marriage equality measures,Candidate supports major criminal justice reform,Candidate provides no information,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",6,0.0,MI-13,brenda jones,60.720001,Nonwhite,No,No,Yes,No,No,No,,,,,,,No,No,No,,,,,6
237,1,MI-13,rashida tlaib,1.0,"No, the candidate does not include any information about serving in the military",J.D.,No information,Candidate mentions previous elected office experience,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate provides no information,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate supports major criminal justice reform,Candidate provides complicated/complex/unclear position,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NEGATIVE MENTION,"Yes, candidate supports universal healthcare reforms",6,1.0,MI-13,rashida tlaib,60.720001,Nonwhite,No,No,Yes,No,No,Yes,,,,,,,Yes,Yes,Yes,,,,No,6
238,0,MO-2,john messmer,0.0,"No, the candidate does not include any information about serving in the military",Ph.D.,Married,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate proposes reforms to reshape Social Security (e.g. increasing the retirement age; means-testing; etc.),Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,NEGATIVE MENTION,POSITIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",5,0.0,MO-2,john messmer,-14.18,White,No,No,No,No,No,No,,,Yes,,,,,,,,,No,,5
239,0,MO-2,mark osmack,0.0,"Yes, the candidate serves or served in the military",Master's Degree (includes MBA),No information,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate supports major criminal justice reform,Candidate provides complicated/complex/unclear position,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate supports legalization/decriminalization of marijuana,Candidate supports a reduction in military spending,Candidate provides no information,Candidate provides no information,Progressive Democrat,NEGATIVE MENTION,POSITIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",5,0.0,MO-2,mark osmack,-14.18,White,Yes,No,No,No,No,No,,,Yes,,,,,,,,,Yes,,5
240,0,MO-2,robert hazel,0.0,"No, the candidate does not include any information about serving in the military",Bachelor's Degree,No information,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate provides no information,Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",5,0.0,MO-2,robert hazel,-14.18,White,No,No,No,No,No,No,,,,,,,,,,,,No,,5
241,0,MO-2,william haas,0.0,"No, the candidate does not include any information about serving in the military",J.D.,No information,Candidate mentions previous elected office experience,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate provides complicated/complex/unclear position,Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",5,0.0,MO-2,bill haas,-14.18,White,No,No,Yes,No,No,No,,,,,,,,,,,,No,,5
242,1,MO-2,cort vanostran,0.0,"No, the candidate does not include any information about serving in the military",J.D.,No information,,Candidate explicitly supports ACA,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate supports placing smart regulations on business,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate provides no information,Candidate provides no information,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,NEGATIVE MENTION,POSITIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,5,1.0,MO-2,cort vanostran,-14.18,White,No,No,No,No,No,No,,,Yes,,,,,,,,,No,,5
243,0,MO-4,hallie thompson,1.0,"No, the candidate does not include any information about serving in the military",Ph.D.,Married,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate provides no information,Candidate supports major criminal justice reform,Candidate provides complicated/complex/unclear position,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",2,0.0,MO-4,hallie thompson,-35.73,White,No,No,No,No,Yes,No,,,Yes,,,,,,,,,,,2
244,1,MO-4,renee hoagenson,1.0,"No, the candidate does not include any information about serving in the military",Bachelor's Degree,Single,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate provides no information,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",2,1.0,MO-4,renee hoagenson,-35.73,White,No,No,No,No,No,No,,,,,,,,,,,,,,2
245,0,MO-6,winston apple,0.0,"No, the candidate does not include any information about serving in the military",Master's Degree (includes MBA),No information,,Candidate provides complicated/complex/unclear position,Candidate provides complicated/complex/unclear position,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,NEGATIVE MENTION,NO MENTION,POSITIVE MENTION,NEUTRAL MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",3,0.0,MO-6,winston apple,-31.610001,White,No,No,No,No,No,No,,,,,,,Yes,,,,,,,3
246,0,MO-6,ed andres,0.0,"No, the candidate does not include any information about serving in the military",No Education Information Listed,No information,,Candidate provides no information,Candidate provides no information,Candidate opposes raises taxes (or candidate supports lowering taxes for all),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,3,0.0,MO-6,ed andres,-31.610001,,,,,No,,No,,,,,,,No,,,,,,,3
247,1,MO-6,henry martin,0.0,"Yes, the candidate serves or served in the military",Master's Degree (includes MBA),Married,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate provides no information,Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate provides no information,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,3,1.0,MO-6,henry martin,-31.610001,Nonwhite,Yes,No,No,No,No,No,,,,,,,No,,,,,,,3
248,0,MO-7,vince jennings,0.0,"No, the candidate does not include any information about serving in the military",No Education Information Listed,No information,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate provides no information,Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate provides no information,Candidate supports major criminal justice reform,Candidate provides no information,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,NO MENTION,NO MENTION,POSITIVE MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",4,0.0,MO-7,vincent jennings,-46.130001,,,,,No,,No,,,Yes,,,,,No,,,,,,4
249,0,MO-7,john de la torre,0.0,"No, the candidate does not include any information about serving in the military",Bachelor's Degree,No information,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate provides no information,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",4,0.0,MO-7,john farmer de la torre,-46.130001,Nonwhite,No,No,No,No,No,No,,,No,,,,,No,,,,,,4
250,0,MO-7,kenneth hatfield,0.0,"Yes, the candidate serves or served in the military",High School,No information,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports a reduction in military spending,Candidate provides no information,Candidate provides no information,Other,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,4,0.0,MO-7,kenneth hatfield,-46.130001,,,,,No,,No,,,No,,,,,No,,,,,,4
251,1,MO-7,jamie schoolcraft,0.0,"Yes, the candidate serves or served in the military",Master's Degree (includes MBA),Married,Candidate mentions previous elected office experience,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate provides no information,Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,4,1.0,MO-7,jamie schoolcraft,-46.130001,White,Yes,No,Yes,No,Yes,No,,,Yes,,,,,Yes,,,,,,4
252,0,MS-3,michael aycox,0.0,"Yes, the candidate serves or served in the military",Bachelor's Degree,No information,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate provides no information,Candidate provides no information,Candidate supports marriage equality measures,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,2,0.0,MS-3,michael aycox,-26.129999,,Yes,Yes,No,No,No,No,,,,,,,,,,,,,,2
253,1,MS-3,michael evans,0.0,"No, the candidate does not include any information about serving in the military",No Education Information Listed,Married,Candidate mentions previous elected office experience,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,"Candidate supports local solutions to reform education (e.g. opposes common core, etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Moderate Democrat,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,2,1.0,MS-3,michael evans,-26.129999,,No,No,Yes,No,No,No,,,,,,,,,,,,,,2
254,0,NC-2,wendy may,1.0,"Yes, the candidate serves or served in the military",No Education Information Listed,No information,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,Candidate supports marriage equality measures,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,Progressive Democrat,NO MENTION,NO MENTION,POSITIVE MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",3,0.0,NC-2,wendy may,-12.98,White,Yes,Yes,No,No,No,No,,,Yes,,,,,,,,,,,3
255,0,NC-2,ken romley,0.0,"No, the candidate does not include any information about serving in the military",Master's Degree (includes MBA),Married,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate provides no information,Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate provides no information,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate notes Russia as political enemy of the United States,Progressive Democrat,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,3,0.0,NC-2,ken romley,-12.98,White,No,No,No,Yes,Yes,No,,,Yes,,,,,,,,,,,3
