,Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?
423,David Jones,NV,Governor of Nevada,Governor,Regular,6/12/18,Lost,None,0.0,0.94999999,1.73,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
424,Henry Thorns,NV,Governor of Nevada,Governor,Regular,6/12/18,Lost,None,0.0,0.94999999,1.9,No,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425,John Bonaventura,NV,Governor of Nevada,Governor,Regular,6/12/18,Lost,None,0.0,0.94999999,2.99,No,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426,Steve Sisolak,NV,Governor of Nevada,Governor,Regular,6/12/18,Advanced,None,1.0,0.94999999,50.029999,Yes,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
490,Dennis J. Kucinich,OH,Governor of Ohio,Governor,Regular,5/8/18,Lost,None,0.0,-7.8899999,22.98,No,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
491,Joseph Schiavoni,OH,Governor of Ohio,Governor,Regular,5/8/18,Lost,None,0.0,-7.8899999,9.1700001,No,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
492,Larry Ealy,OH,Governor of Ohio,Governor,Regular,5/8/18,Lost,None,0.0,-7.8899999,1.02,No,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
493,Paul Ray,OH,Governor of Ohio,Governor,Regular,5/8/18,Lost,None,0.0,-7.8899999,1.38,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
494,Richard Cordray,OH,Governor of Ohio,Governor,Regular,5/8/18,Advanced,None,1.0,-7.8899999,62.16,Yes,0.0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
495,William O'Neill,OH,Governor of Ohio,Governor,Regular,5/8/18,Lost,None,0.0,-7.8899999,3.29,No,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
537,Constance Johnson,OK,Governor of Oklahoma,Governor,Regular,6/26/18,Lost,None,0.0,-38.209999,38.619999,No,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
538,Drew Edmondson,OK,Governor of Oklahoma,Governor,Regular,6/26/18,Advanced,None,1.0,-38.209999,61.380001,Yes,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610,James Smith Jr.,SC,Governor of South Carolina,Governor,Regular,6/12/18,Advanced,None,1.0,-15.85,61.810001,Yes,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
611,Marguerite Willis,SC,Governor of South Carolina,Governor,Regular,6/12/18,Lost,None,0.0,-15.85,27.549999,No,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612,Phil Noble,SC,Governor of South Carolina,Governor,Regular,6/12/18,Lost,None,0.0,-15.85,10.64,No,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
633,Billie Sutton,SD,Governor of South Dakota,Governor,Regular,6/5/18,Advanced,None,1.0,-29.379999,100.0,Yes,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
635,Craig Fitzhugh,TN,Governor of Tennessee,Governor,Regular,8/2/18,Lost,None,0.0,-27.139999,19.42,No,0.0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
